证券代码,中文简称,英文简称
00001,长和,CKH HOLDINGS
00002,中电控股,CLP HOLDINGS
00003,香港中华煤气,HK & CHINA GAS
00004,九龙仓集团,WHARF HOLDINGS
00005,汇丰控股,HSBC HOLDINGS
00006,电能实业,POWER ASSETS
00008,电讯盈科,PCCW
00010,恒隆集团,HANG LUNG GROUP
00012,恒基地产,HENDERSON LAND
00013,和黄医药,HUTCHMED
00014,希慎兴业,HYSAN DEV
00016,新鸿基地产,SHK PPT
00017,新世界发展,NEW WORLD DEV
00019,太古股份公司Ａ,SWIRE PACIFIC A
00020,商汤－Ｗ,SENSETIME-W
00023,东亚银行,BANK OF E ASIA
00027,银河娱乐,GALAXY ENT
00038,第一拖拉机股份,FIRST TRACTOR
00041,鹰君,GREAT EAGLE H
00066,港铁公司,MTR CORPORATION
00081,中国海外宏洋集团,CH OVS G OCEANS
00083,信和置业,SINO LAND
00087,太古股份公司Ｂ,SWIRE PACIFIC B
00101,恒隆地产,HANG LUNG PPT
00107,四川成渝高速公路,SICHUAN EXPRESS
00119,保利置业集团,POLY PROPERTY
00123,越秀地产,YUEXIU PROPERTY
00135,昆仑能源,KUNLUN ENERGY
00136,中国儒意,CHINA RUYI
00142,第一太平,FIRST PACIFIC
00144,招商局港口,CHINA MER PORT
00148,建滔集团,KINGBOARD HLDG
00151,中国旺旺,WANT WANT CHINA
00152,深圳国际,SHENZHEN INT'L
00165,中国光大控股,CHINA EB LTD
00168,青岛啤酒股份,TSINGTAO BREW
00173,嘉华国际,K. WAH INT'L
00175,吉利汽车,GEELY AUTO
00177,江苏宁沪高速公路,JIANGSU EXPRESS
00179,德昌电机控股,JOHNSON ELEC H
00187,京城机电股份,JINGCHENG MAC
00189,东岳集团,DONGYUE GROUP
00200,新濠国际发展,MELCO INT'L DEV
00220,统一企业中国,U-PRESID CHINA
00241,阿里健康,ALI HEALTH
00257,光大环境,EB ENVIRONMENT
00267,中信股份,CITIC
00268,金蝶国际,KINGDEE INT'L
00270,粤海投资,GUANGDONG INV
00285,比亚迪电子,BYD ELECTRONIC
00288,万洲国际,WH GROUP
00290,国富量子,GOFINTECH QUANT
00291,华润啤酒,CHINA RES BEER
00293,国泰航空,CATHAY PAC AIR
00297,中化化肥,SINOFERT
00300,美的集团,MIDEA GROUP
00303,,VTECH HOLDINGS
00308,香港中旅,CHINA TRAVEL HK
00316,东方海外国际,OOIL
00317,中船防务,COMEC
00322,康师傅控股,TINGYI
00323,马鞍山钢铁股份,MAANSHAN IRON
00325,布鲁可,BLOKS
00336,华宝国际,HUABAO INTL
00338,上海石油化工股份,SHANGHAI PECHEM
00345,,VITASOY INT'L
00347,鞍钢股份,ANGANG STEEL
00354,中国软件国际,CHINASOFT INT'L
00358,江西铜业股份,JIANGXI COPPER
00363,上海实业控股,SHANGHAI IND H
00371,北控水务集团,BJ ENT WATER
00384,中国燃气,CHINA GAS HOLD
00386,中国石油化工股份,SINOPEC CORP
00388,香港交易所,HKEX
00390,中国中铁,CHINA RAILWAY
00392,北京控股,BEIJING ENT
00425,敏实集团（一百）,MINTH GROUP-100
00440,大新金融,DAH SING
00460,四环医药,SIHUAN PHARM
00467,联合能源集团,UNITEDENERGY GP
00470,先导智能,WUXI LEAD
00501,豪威集团,OMNIVISION
00506,中国食品,CHINA FOODS
00512,远大医药,GRAND PHARMA
00522,,ASMPT
00525,广深铁路股份,GUANGSHEN RAIL
00546,阜丰集团,FUFENG GROUP
00548,深圳高速公路股份,SHENZHENEXPRESS
00551,裕元集团,YUE YUEN IND
00552,中国通信服务,CHINACOMSERVICE
00553,南京熊猫电子股份,NANJING PANDA
00564,中创智领,ZCZL
00568,山东墨龙,SHANDONG MOLONG
00570,中国中药,TRAD CHI MED
00576,浙江沪杭甬,ZHEJIANGEXPRESS
00586,海螺创业,CONCH VENTURE
00588,北京北辰实业股份,BEIJING N STAR
00590,六福集团,LUK FOOK HOLD
00598,中国外运,SINOTRANS
00604,深圳控股,SHENZHEN INVEST
00631,三一国际,SANY INT'L
00636,,KLN
00638,广和通,FIBOCOM
00639,首钢资源,SHOUGANG RES
00656,复星国际,FOSUN INTL
00659,周大福创建,CTF SERVICES
00666,瑞浦兰钧,REPT BATTERO
00667,中国东方教育,CHINA EAST EDU
00669,创科实业,TECHTRONIC IND
00670,中国东方航空股份,CHINA EAST AIR
00683,嘉里建设,KERRY PPT
00688,中国海外发展,CHINA OVERSEAS
00696,中国民航信息网络,TRAVELSKY TECH
00697,首程控股,SHOUCHENG
00699,均胜电子,JOYSON ELEC
00700,腾讯控股,TENCENT
00719,山东新华制药股份,SHANDONG XINHUA
00728,中国电信,CHINA TELECOM
00751,创维集团,SKYWORTH GROUP
00753,中国国航,AIR CHINA
00754,合生创展集团,HOPSON DEV HOLD
00762,中国联通,CHINA UNICOM
00763,中兴通讯,ZTE
00772,阅文集团,CHINA LIT
00780,同程旅行,TONGCHENGTRAVEL
00788,中国铁塔,CHINA TOWER
00811,新华文轩,XINHUA WINSHARE
00817,中国金茂,CHINA JINMAO
00819,天能动力,TIANNENG POWER
00826,天工国际,TIANGONG INT'L
00836,华润电力,CHINA RES POWER
00839,中教控股,CHINA EDU GROUP
00853,微创医疗,MICROPORT
00855,中国水务,CHINA WATER
00856,伟仕佳杰,VSTECS
00857,中国石油股份,PETROCHINA
00867,康哲药业,CMS
00868,信义玻璃,XINYI GLASS
00874,白云山,BAIYUNSHAN PH
00880,澳博控股,SJM HOLDINGS
00881,中升控股,ZHONGSHENG HLDG
00883,中国海洋石油,CNOOC
00895,东江环保,DONGJIANG ENV
00902,华能国际电力股份,HUANENG POWER
00909,明源云,MING YUAN CLOUD
00914,海螺水泥,CONCH CEMENT
00916,龙源电力,CHINA LONGYUAN
00917,趣致集团,QUNABOX GROUP
00921,海信家电,HISENSE HA
00934,中石化冠德,SINOPEC KANTONS
00939,建设银行,CCB
00941,中国移动,CHINA MOBILE
00956,新天绿色能源,CHINA SUNTIEN
00960,龙湖集团,LONGFOR GROUP
00966,中国太平,CHINA TAIPING
00968,信义光能,XINYI SOLAR
00975,,MONGOL MINING
00981,中芯国际,SMIC
00990,至源控股,DEEP SOURCE
00991,大唐发电,DATANG POWER
00992,联想集团,LENOVO GROUP
00995,安徽皖通高速公路,ANHUIEXPRESSWAY
00998,中信银行,CITIC BANK
00999,小菜园,XIAOCAIYUAN
01024,快手－Ｗ,KUAISHOU-W
01030,新城发展,SEAZEN
01033,中石化油服,SINOPEC SSC
01038,长江基建集团,CKI HOLDINGS
01044,恒安国际,HENGAN INT'L
01052,越秀交通基建,YUEXIUTRANSPORT
01053,重庆钢铁股份,CHONGQING IRON
01055,中国南方航空股份,CHINA SOUTH AIR
01057,浙江世宝,ZHEJIANG SHIBAO
01060,大麦娱乐,DAMAI ENT
01065,天津创业环保股份,TIANJIN CAPITAL
01066,威高股份,WEIGAO GROUP
01070,ＴＣＬ电子,TCL ELECTRONICS
01071,华电国际电力股份,HUADIAN POWER
01072,东方电气,DONGFANG ELEC
01083,港华智慧能源,TG SMART ENERGY
01088,中国神华,CHINA SHENHUA
01093,石药集团,CSPC PHARMA
01099,国药控股,SINOPHARM
01108,凯盛新能,TRIUMPH NEW EN
01109,华润置地,CHINA RES LAND
01112,Ｈ＆Ｈ国际控股,H&H INTL HLDG
01113,长实集团,CK ASSET
01114,,BRILLIANCE CHI
01117,现代牧业,CH MODERN D
01128,永利澳门,WYNN MACAU
01138,中远海能,COSCO SHIP ENGY
01157,中联重科,ZOOMLION
01164,中广核矿业,CGN MINING
01171,兖矿能源,YANKUANG ENERGY
01177,中国生物制药,SINO BIOPHARM
01186,中国铁建,CHINA RAIL CONS
01193,华润燃气,CHINA RES GAS
01196,伟禄集团,REALORD GROUP
01199,中远海运港口,COSCO SHIP PORT
01208,五矿资源,MMG
01209,华润万象生活,CHINA RES MIXC
01211,比亚迪股份,BYD COMPANY
01258,中国有色矿业,CHINFMINING
01276,恒瑞医药,HENGRUI PHARMA
01277,力量发展,KINETIC DEV
01288,农业银行,ABC
01299,友邦保险,AIA
01302,先健科技,LIFETECH SCI
01304,,FORTIOR
01308,海丰国际,SITC
01310,香港宽频,HKBN
01313,华润建材科技,CR BLDG MAT TEC
01316,耐世特,NEXTEER
01318,毛戈平,MAO GEPING
01330,绿色动力环保,DYNAGREEN ENV
01333,博雷顿,BRETON
01336,新华保险,NCI
01339,中国人民保险集团,PICC GROUP
01347,华虹半导体,HUA HONG SEMI
01349,复旦张江,FUDANZHANGJIANG
01357,美图公司,MEITU
01359,中国信达,CHINA CINDA
01361,３６１度,361 DEGREES
01364,古茗,GUMING
01368,特步国际,XTEP INT'L
01375,中州证券,CC SECURITIES
01378,中国宏桥,CHINAHONGQIAO
01384,滴普科技,DEEPEXI TECH
01385,上海复旦,SHANGHAI FUDAN
01398,工商银行,ICBC
01405,达势股份,DPC DASH
01415,高伟电子,COWELL
01428,耀才证券金融,BRIGHT SMART
01448,福寿园,FU SHOU YUAN
01456,国联民生,GLMS SEC
01475,日清食品,NISSIN FOODS
01478,丘钛科技,Q TECH
01513,丽珠医药,LIVZON PHARMA
01519,极兔速递－Ｗ,J&T EXPRESS-W
01528,红星美凯龙,RS MACALLINE
01530,三生制药,3SBIO
01548,金斯瑞生物科技,GENSCRIPT BIO
01579,颐海国际,YIHAI INTL
01585,雅迪控股,YADEA
01610,中粮家佳康,COFCO JOYCOME
01618,中国中冶,MCC
01635,大众公用,DZUG
01658,邮储银行,PSBC
01675,亚信科技,ASIAINFO TECH
01681,康臣药业,CONSUN PHARMA
01686,新意网集团,SUNEVISION
01691,ＪＳ环球生活,JS GLOBAL LIFE
01729,汇聚科技,TIME INTERCON
01735,中环新能源,CENTRAL NEW EGY
01766,中国中车,CRRC
01772,赣锋锂业,GANFENGLITHIUM
01773,天立国际控股,TIANLI INT HLDG
01776,广发证券,GF SEC
01783,晋景新能,ENVISION GREEN
01787,山东黄金,SD GOLD
01788,国泰君安国际,GUOTAI JUNAN I
01789,爱康医疗,AK MEDICAL
01797,东方甄选,EAST BUY
01800,中国交通建设,CHINA COMM CONS
01801,信达生物,INNOVENT BIO
01810,小米集团－Ｗ,XIAOMI-W
01811,中广核新能源,CGN NEW ENERGY
01816,中广核电力,CGN POWER
01818,招金矿业,ZHAOJIN MINING
01828,富卫集团,FWD
01833,平安好医生,PA GOODDOCTOR
01836,九兴控股,STELLA HOLDINGS
01858,春立医疗,CHUNLI MEDICAL
01860,汇量科技,MOBVISTA
01876,百威亚太,BUD APAC
01877,君实生物,JUNSHI BIO
01880,中国中免,CTG DUTY-FREE
01882,海天国际,HAITIAN INT'L
01883,中信国际电讯,CITIC TELECOM
01888,建滔积层板,KB LAMINATES
01896,猫眼娱乐,MAOYAN ENT
01898,中煤能源,CHINA COAL
01907,中国旭阳集团,CHINA RISUN GP
01908,建发国际集团,C&D INTL GROUP
01910,新秀丽,SAMSONITE
01918,融创中国,SUNAC
01919,中远海控,COSCO SHIP HOLD
01921,达力普控股,DALIPAL HLDG
01928,金沙中国有限公司,SANDS CHINA LTD
01929,周大福,CHOW TAI FOOK
01951,锦欣生殖,JXR
01952,云顶新耀,EVEREST MED
01963,重庆银行,BCQ
01972,太古地产,SWIREPROPERTIES
01988,民生银行,MINSHENG BANK
01997,九龙仓置业,WHARF REIC
01999,敏华控股,MAN WAH HLDGS
02005,石四药集团,SSY GROUP
02007,碧桂园,COUNTRY GARDEN
02009,金隅集团,BBMG
02013,微盟集团,WEIMOB INC
02015,理想汽车－Ｗ,LI AUTO-W
02016,浙商银行,CZBANK
02018,瑞声科技,AAC TECH
02020,安踏体育,ANTA SPORTS
02038,富智康集团,FIH
02039,中集集团,CIMC
02050,三花智控,SANHUA
02057,中通快递－Ｗ,ZTO EXPRESS-W
02068,中铝国际,CHALIECO
02096,先声药业,SIMCERE PHARMA
02097,蜜雪集团,MIXUE GROUP
02099,中国黄金国际,CHINAGOLDINTL
02128,中国联塑,CHINA LESSO
02145,上美股份,CHICMAX
02155,森松国际,MORIMATSU INTL
02157,乐普生物－Ｂ,LEPU BIO-B
02158,医渡科技,YIDU TECH
02162,康诺亚－Ｂ,KEYMED BIO-B
02171,科济药业－Ｂ,CARSGEN-B
02172,微创脑科学,MICROPORT NEURO
02186,绿叶制药,LUYE PHARMA
02192,医脉通,MEDLIVE
02196,复星医药,FOSUN PHARMA
02202,万科企业,CHINA VANKE
02208,金风科技,GOLDWIND
02218,安德利果汁,ANDRE JUICE
02228,晶泰控股,XTALPI
02232,晶苑国际,CRYSTAL INTL
02233,西部水泥,WESTCHINACEMENT
02238,广汽集团,GAC GROUP
02252,微创机器人－Ｂ,MEDBOT-B
02255,海昌海洋公园,HAICHANG HLDG
02259,紫金黄金国际,ZIJIN GOLD INTL
02268,药明合联,WUXI XDC
02269,药明生物,WUXI BIO
02273,固生堂,GUSHENGTANG
02276,康耐特光学,CONANT OPTICAL
02282,美高梅中国,MGM CHINA
02285,泉峰控股,CHERVON
02291,心泰医疗,SCIENTECH
02313,申洲国际,SHENZHOU INTL
02314,理文造纸,LEE & MAN PAPER
02315,百奥赛图－Ｂ,BIOCYTOGEN-B
02318,中国平安,PING AN
02319,蒙牛乳业,MENGNIU DAIRY
02328,中国财险,PICC P&C
02331,李宁,LI NING
02333,长城汽车,GWMOTOR
02338,潍柴动力,WEICHAI POWER
02343,太平洋航运,PACIFIC BASIN
02356,大新银行集团,DAHSING BANKING
02357,中航科工,AVICHINA
02359,药明康德,WUXI APPTEC
02367,巨子生物,GIANT BIOGENE
02378,保诚,PRU
02380,中国电力,CHINA POWER
02382,舜宇光学科技,SUNNY OPTICAL
02386,中石化炼化工程,SINOPEC SEG
02388,中银香港,BOC HONG KONG
02400,心动公司,XD INC
02402,亿华通,SINOHYTEC
02410,同源康医药－Ｂ,TYK MEDICINES-B
02419,德康农牧,DEKON AGR
02423,贝壳－Ｗ,BEKE-W
02431,佑驾创新,MINIEYE
02432,越疆,DOBOT
02460,华润饮料,CR BEVERAGE
02465,龙蟠科技,LOPAL TECH
02473,喜相逢集团,XXF
02477,经纬天地,WELLCELL HOLD
02498,速腾聚创,ROBOSENSE
02506,讯飞医疗科技,XUNFEIHEALTH
02507,西锐,CIRRUS
02510,德翔海运,TS LINES
02517,锅圈,GUOQUAN
02533,黑芝麻智能,BLACK SESAME
02555,茶百道,CHABAIDAO
02556,迈富时,MARKETINGFORCE
02562,狮腾控股,SYNAGISTICS
02565,派格生物医药－Ｂ,PEGBIO CO-B
02570,重塑能源,REFIRE
02575,轩竹生物－Ｂ,XUANZHUBIO-B
02577,英诺赛科,INNOSCIENCE
02579,中伟新材,CNGR
02580,奥克斯电气,AUX ELECTRIC
02582,国富氢能,GUOFUHEE
02583,西普尼,HIPINE
02586,多点数智,DMALL
02587,健康之路,HEALTHYWAY INC
02588,中银航空租赁,BOC AVIATION
02589,沪上阿姨,AUNTEA JENNY
02590,极智嘉－Ｗ,GEEKPLUS-W
02591,银诺医药－Ｂ,INNOGEN-B
02595,劲方医药－Ｂ,GENFLEET-B
02600,中国铝业,CHALCO
02601,中国太保,CPIC
02602,万物云,ONEWO
02603,吉宏股份,JIHONG CO
02607,上海医药,SH PHARMA
02609,佰泽医疗,BAYZED HEALTH
02610,南山铝业国际,NANSHAN AL INTL
02611,国泰海通,GTHT
02617,药捷安康－Ｂ,TRANSTHERA-B
02618,京东物流,JD LOGISTICS
02627,中慧生物－Ｂ,AB&B BIO-TECH-B
02628,中国人寿,CHINA LIFE
02629,,MIRXES-B
02631,天岳先进,SICC
02637,海西新药,HAIXI PHARMA
02643,曹操出行,CAOCAO INC
02648,安井食品,ANJOY FOOD
02652,长风药业,CF PHARMTECH
02655,果下科技,GUOXIA TECH
02656,健康１６０,160 HEALTH
02659,宝济药业－Ｂ,BAO PHARMA-B
02661,轻松健康,QINGSONG HEALTH
02665,图达通,SEYOND
02666,环球医疗,UNI MEDICAL
02669,中海物业,CHINA OVS PPT
02676,纳芯微,NOVOSENSE
02685,量化派,QUANTGROUP
02687,卓越睿新,ABLE DIGITAL
02688,新奥能源,ENN ENERGY
02689,玖龙纸业,ND PAPER
02691,南华期货股份,NANHUA FUTURES
02692,兆威机电,ZHAOWEI
02698,乐舒适,SOFTCARE
02714,牧原股份,MUYUAN
02727,上海电气,SH ELECTRIC
02768,国恩科技,GON TECHNOLOGY
02788,创新实业,CHUANGXIN IND
02799,中信金融资产,CITIC FAMC
02800,盈富基金,TRACKER FUND
02801,安硕中国,ISHARES CHINA
