date,index,change_type,ticker,ticker_normalized,company
11/21/25,HKEX Stock Connect China Enterprises Index,Inclusion,1378,1378.HK,China Hongqiao Group Ltd.
11/21/25,HKEX Stock Connect China Enterprises Index,Inclusion,1801,1801.HK,Innovent Biologics Inc.
11/21/25,HKEX Stock Connect China Enterprises Index,Inclusion,2371,2371.HK,NAURA Technology Group Co. Ltd.
11/21/25,HKEX Stock Connect China Enterprises Index,Exclusion,2688,2688.HK,ENN Energy Holdings Ltd.
11/21/25,HKEX Stock Connect China Enterprises Index,Exclusion,600025,600025.HK,Huaneng Lancang River Hydropower Inc.
11/21/25,HKEX Stock Connect China Enterprises Index,Exclusion,600887,600887.HK,Inner Mongolia Yili Industrial Group Co. Ltd.
11/21/25,HKEX Stock Connect China Enterprises Index,Exclusion,6862,6862.HK,Haidilao International Holding Ltd.
11/21/25,HKEX Stock Connect China Enterprises Index,Inclusion,9987,9987.HK,Yum China Holdings Inc.
2/13/26,HKEX Stock Connect China Enterprises Index,Exclusion,2319,2319.HK,China Mengniu Dairy Co. Ltd.
2/13/26,HKEX Stock Connect China Enterprises Index,Inclusion,2423,2423.HK,KE Holdings Inc. - W
2/13/26,HKEX Stock Connect China Enterprises Index,Exclusion,291,291.HK,China Resources Beer (Holdings) Co. Ltd.
2/13/26,HKEX Stock Connect China Enterprises Index,Inclusion,300308,300308.HK,Zhongji Innolight Co. Ltd.
2/13/26,HKEX Stock Connect China Enterprises Index,Exclusion,568,568.HK,Luzhou Laojiao Company Limited
2/13/26,HKEX Stock Connect China Enterprises Index,Exclusion,600406,600406.HK,NARI Technology Co. Ltd.
2/13/26,HKEX Stock Connect China Enterprises Index,Inclusion,601211,601211.HK,Guotai Haitong Securities Co. Ltd.
2/13/26,HKEX Stock Connect China Enterprises Index,Inclusion,9660,9660.HK,Horizon Robotics - W
2/21/25,HSCEI,Removal,1177,1177.HK,Sino Biopharmaceutical Ltd.
2/21/25,HSCEI,Inclusion,2057,2057.HK,ZTO Express (Cayman) Inc. - W
2/21/25,HSCEI,Removal,2331,2331.HK,Li Ning Co. Ltd.
2/21/25,HSCEI,Inclusion,6160,6160.HK,BeiGene Ltd.
2/21/25,Hang Seng Biotech Index,Inclusion,1302,1302.HK,LifeTech Scientific Corporation
2/21/25,Hang Seng Biotech Index,Removal,1541,1541.HK,ImmuneOnco Biopharmaceuticals (Shanghai) Inc.
2/21/25,Hang Seng TECH Index,Inclusion,1698,1698.HK,Tencent Music Entertainment Group - SW
2/21/25,Hang Seng TECH Index,Removal,1797,1797.HK,East Buy Holding Ltd.
2/21/25,Hang Seng TECH Index,Removal,6060,6060.HK,ZhongAn Online P & C Insurance Co. Ltd.
