date,index,change_type,ticker,ticker_normalized,company,change_type_label,y_inclusion
2023-09-01,Hang Seng Composite,Inclusion,3650,3650.HK,Keep Inc.,Inclusion,1
2023-09-01,Hang Seng Biotech,Inclusion,3933,3933.HK,The United Laboratories International Holdings Ltd.,Inclusion,1
2023-09-01,Hang Seng Composite,Inclusion,9690,9690.HK,TUHU Car Inc.,Inclusion,1
2023-09-01,Hang Seng Biotech,Inclusion,9885,9885.HK,YSB Inc.,Inclusion,1
2024-02-01,Stock Connect China Enterprises,Inclusion,000333,000333.SZ,Midea Group,Inclusion,1
2024-02-01,HSCEI,Inclusion,0762,0762.HK,China Unicom,Inclusion,1
2024-02-01,Stock Connect China Enterprises,Inclusion,0762,0762.HK,China Unicom,Inclusion,1
2024-02-01,HSTECH,Inclusion,0780,0780.HK,Tongcheng Travel,Inclusion,1
2024-05-01,HSI,Inclusion,0285,0285.HK,BYD Electronic,Inclusion,1
2024-05-01,HSCEI,Inclusion,2899,2899.HK,Zijin Mining,Inclusion,1
2024-05-01,Stock Connect,Inclusion,2899,2899.HK,Zijin Mining,Inclusion,1
2024-05-01,Stock Connect,Inclusion,601319,601319.SH,PICC,Inclusion,1
2024-05-01,Stock Connect,Inclusion,601998,601998.SH,China CITIC Bank,Inclusion,1
2024-09-01,HSCEI,Inclusion,1519,1519.HK,J&T Global Express,Inclusion,1
2024-09-01,Stock Connect,Inclusion,1519,1519.HK,J&T Global Express,Inclusion,1
2024-09-01,Stock Connect,Inclusion,600406,600406.SH,NARI Technology,Inclusion,1
2024-09-01,Stock Connect,Inclusion,601225,601225.SH,Shaanxi Coal,Inclusion,1
2024-09-01,HSCEI,Inclusion,9901,9901.HK,New Oriental,Inclusion,1
2024-11-01,HSTECH,Inclusion,0300,0300.HK,Midea Group,Inclusion,1
2024-11-01,HSI,Inclusion,1024,1024.HK,Kuaishou,Inclusion,1
2024-11-01,HSCEI,Inclusion,2328,2328.HK,PICC P&C,Inclusion,1
2024-11-01,HSI,Inclusion,9901,9901.HK,New Oriental,Inclusion,1
