date,index,change_type,ticker,ticker_normalized,company
3/14/16,Hang Seng China 50 Index,Exclusion,1211 / 002594,1211.HK / 002594.SZ,BYD Co. Ltd.
3/14/16,Hang Seng China 50 Index,Exclusion,1359,1359.HK,"China Cinda Asset Management Co., Ltd."
3/14/16,Hang Seng China 50 Index,Exclusion,2333 / 601633,2333.HK / 601633.SH,Great Wall Motor Co. Ltd.
3/14/16,Hang Seng China 50 Index,Inclusion,1186 / 601186,1186.HK / 601186.SH,China Railway Construction Corporation Ltd.
3/14/16,Hang Seng China 50 Index,Inclusion,1776 / 000776,1776.HK / 000776.SZ,"GF Securities Co., Ltd."
3/14/16,Hang Seng China 50 Index,Inclusion,601211,601211.SH,Guotai Junan Securities Co. Ltd.
3/14/16,Hang Seng China AH Index Series,Inclusion,317 / 600685,0317.HK / 600685.SH,CSSC Offshore & Marine Engineering (Group) Co.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Exclusion,54,0054.HK,Hopewell Holdings Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Exclusion,829,0829.HK,Shenguan Holdings (Group) Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1157,1157.HK,"Zoomlion Heavy Industry Science and Technology Co., Ltd-H Sh"
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1528,1528.HK,Red Star Macalline Group Corporation Ltd. - H Shares
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Exclusion,87001,87001,Hui Xian Real Estate Investment Trust
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,10,0010.HK,Hang Lung Group Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,109,0109.HK,Good Resources Holdings Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,136,0136.HK,HengTen Networks Group Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,400,0400.HK,Cogobuy Group
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,405,0405.HK,Yuexiu Real Estate Investment Trust
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,607,0607.HK,Fullshare Holdings Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,715,0715.HK,China Oceanwide Holdings Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,911,0911.HK,Hang Fat Ginseng Holdings Co. Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,958,0958.HK,Huaneng Renewables Corporation Ltd. - H Shares
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1071,1071.HK,Huadian Power International Corporation Ltd. - H Shares
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1282,1282.HK,China Goldjoy Group Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1308,1308.HK,SITC International Holdings Co. Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1363,1363.HK,CT Environmental Group Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1432,1432.HK,China Shengmu Organic Milk Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1508,1508.HK,China Reinsurance (Group) Corporation - H Shares
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1970,1970.HK,"IMAX China Holding, Inc."
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2066,2066.HK,"Shengjing Bank Co., Ltd. - H Shares"
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2098,2098.HK,Zall Development Group Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2298,2298.HK,Cosmo Lady (China) Holdings Co. Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,3698,3698.HK,Huishang Bank Corporation Ltd. - H shares
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,3823,3823.HK,Tech Pro Technology Development Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,3886,3886.HK,Town Health International Medical Group Ltd.
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,3908,3908.HK,China International Capital Corporation Ltd. - H Shares
3/14/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,3996,3996.HK,China Energy Engineering Corporation Ltd. - H Shares
3/14/16,Hang Seng Index,Exclusion,291,0291.HK,China Resources Beer
3/14/16,Hang Seng Index,Inclusion,1038,1038.HK,Cheung Kong Infrastructure
6/6/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1578,1578.HK,"Bank of Tianjin Co., Ltd. – H Shares MidCap Financials"
6/6/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2016,2016.HK,"China Zheshang Bank Co., Ltd. – H Shares MidCap Financials"
9/5/16,Hang Seng China 50 Index,Exclusion,600958,600958.SH,Orient Securities Company Limited
9/5/16,Hang Seng China 50 Index,Inclusion,600606,600606.SH,Greenland Holdings Corporation Limited
9/5/16,Hang Seng China A Industry Top Index,Exclusion,000839,000839.SZ,"CITIC Guoan Information Industry Co.,Ltd"
9/5/16,Hang Seng China A Industry Top Index,Exclusion,002241,002241.SZ,Goertek Inc.
9/5/16,Hang Seng China A Industry Top Index,Exclusion,600111,600111.SH,"China Northern Rare Earth (Group) High-Tech Co.,Ltd"
9/5/16,Hang Seng China A Industry Top Index,Inclusion,600027,600027.SH,Huadian Power International Corporation Limited
9/5/16,Hang Seng China A Industry Top Index,Inclusion,600271,600271.SH,Aisino Corporation
9/5/16,Hang Seng China A Industry Top Index,Inclusion,600688,600688.SH,Sinopec Shanghai Petrochemical Company Limited
9/5/16,Hang Seng China A Industry Top Index,Inclusion,600704,600704.SH,"Materials Industry Zhongda Group Co., Ltd."
9/5/16,Hang Seng China A Industry Top Index,Inclusion,601018,601018.SH,Ningbo Port Company Limited
9/5/16,Hang Seng China A Industry Top Index,Inclusion,601186,601186.SH,China Railway Construction Corporation Limited
9/5/16,Hang Seng China A Industry Top Index,Inclusion,601318,601318.SH,"Ping An Insurance (Group) Company of China, Ltd."
9/5/16,Hang Seng China A Industry Top Index,Inclusion,603993,603993.SH,"China Molybdenum Co.,Ltd."
9/5/16,Hang Seng China A Top 100 Index,Exclusion,000157,000157.SZ,"Zoomlion Heavy Industry Science and Technology Co., Ltd."
9/5/16,Hang Seng China A Top 100 Index,Exclusion,600031,600031.SH,"Sany Heavy Industry Co.,Ltd."
9/5/16,Hang Seng China A Top 100 Index,Exclusion,600875,600875.SH,Dongfang Electric Corporation Limited
9/5/16,Hang Seng China A Top 100 Index,Exclusion,601225,601225.SH,Shaanxi Coal Industry Company Limited
9/5/16,Hang Seng China A Top 100 Index,Exclusion,601898,601898.SH,China Coal Energy Company Limited
9/5/16,Hang Seng China A Top 100 Index,Exclusion,601989,601989.SH,China Shipbuilding Industry Company Limited
9/5/16,Hang Seng China A Top 100 Index,Inclusion,001979,001979.SZ,"China Merchants Shekou Industrial Zone Holdings Co.,Ltd"
9/5/16,Hang Seng China A Top 100 Index,Inclusion,600606,600606.SH,Greenland Holdings Corporation Limited
9/5/16,Hang Seng China A Top 100 Index,Inclusion,600958,600958.SH,Orient Securities Company Limited
9/5/16,Hang Seng China A Top 100 Index,Inclusion,601009,601009.SH,"Bank of Nanjing Co.,Ltd."
9/5/16,Hang Seng China A Top 100 Index,Inclusion,601018,601018.SH,Ningbo Port Company Limited
9/5/16,Hang Seng China A Top 100 Index,Inclusion,601211,601211.SH,"Guotai Junan Securities Co., Ltd."
9/5/16,Hang Seng China Enterprises Index,Exclusion,3323,3323.HK,China National Building Material Co. Ltd. - H Shares
9/5/16,Hang Seng China Enterprises Index,Inclusion,3898,3898.HK,"Zhuzhou CRRC Times Electric Co., Ltd. - H Shares"
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Exclusion,81,0081.HK,China Overseas Grand Oceans Group Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Exclusion,207,0207.HK,Joy City Property Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Exclusion,283,0283.HK,Goldin Properties Holdings Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Exclusion,530,0530.HK,Goldin Financial Holdings Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Exclusion,639,0639.HK,Shougang Fushan Resources Group Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Exclusion,754,0754.HK,Hopson Development Holdings Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1076,1076.HK,Imperial Pacific International Holdings Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1111,1111.HK,Chong Hing Bank Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1165,1165.HK,Shunfeng International Clean Energy Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1212,1212.HK,Lifestyle International Holdings Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,245,0245.HK,China Minsheng Financial Holding Corporation Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,338,0338.HK,Sinopec Shanghai Petrochemical Co. Ltd. - H Shares
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,345,0345.HK,Vitasoy International Holdings Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,412,0412.HK,China Innovative Finance Group Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,460,0460.HK,Sihuan Pharmaceutical Holdings Group Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,680,0680.HK,Nan Hai Corporation Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,696,0696.HK,TravelSky Technology Ltd. - H Shares
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,884,0884.HK,CIFI Holdings (Group) Co. Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1958,1958.HK,BAIC Motor Corporation Ltd. - H Shares
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2199,2199.HK,Regina Miracle International (Holdings) Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2326,2326.HK,BEP International Holdings Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2588,2588.HK,BOC Aviation Ltd.
9/5/16,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2888,2888.HK,Standard Chartered PLC
9/5/16,Hang Seng Index,Exclusion,322,0322.HK,Tingyi (Cayman Islands)
9/5/16,Hang Seng Index,Inclusion,2018,2018.HK,AAC Technologies Holdings
12/5/16,Hang Seng China Enterprises Index,Exclusion,2883,2883.HK,China Oilfield Services Ltd. - H Shares
12/5/16,Hang Seng China Enterprises Index,Inclusion,1186,1186.HK,China Railway Construction Corporation Ltd. - H Shares
3/6/17,Hang Seng China 50 Index,Exclusion,902 / 600011,0902.HK / 600011.SH,"Huaneng Power International, Inc."
3/6/17,Hang Seng China 50 Index,Exclusion,601006,601006.SH,"Daqin Railway Co., Ltd."
3/6/17,Hang Seng China 50 Index,Exclusion,601985,601985.SH,"China National Nuclear Power Co., Ltd."
3/6/17,Hang Seng China 50 Index,Inclusion,000333,000333.SZ,"Midea Group Co., Ltd."
3/6/17,Hang Seng China 50 Index,Inclusion,1658,1658.HK,"Postal Savings Bank of China Co., Ltd."
3/6/17,Hang Seng China 50 Index,Inclusion,601229,601229.SH,"Bank of Shanghai Co., Ltd."
3/6/17,Hang Seng China AH Index Series,Exclusion,168 / 600600,0168.HK / 600600.SH,Tsingtao Brewery Co. Ltd.
3/6/17,Hang Seng China AH Index Series,Exclusion,991 / 601991,0991.HK / 601991.SH,"Datang International Power Generation Co., Ltd."
3/6/17,Hang Seng China AH Index Series,Exclusion,1072 / 600875,1072.HK / 600875.SH,Dongfang Electric Corporation Ltd.
3/6/17,Hang Seng China AH Index Series,Exclusion,2039 / 000039,2039.HK / 000039.SZ,"China Int'l Marine Containers (Group) Co., Ltd."
3/6/17,Hang Seng China AH Index Series,Exclusion,2238 / 601238,2238.HK / 601238.SH,"Guangzhou Automobile Group Co., Ltd."
3/6/17,Hang Seng China AH Index Series,Exclusion,2883 / 601808,2883.HK / 601808.SH,China Oilfield Services Ltd.
3/6/17,Hang Seng China AH Index Series,Inclusion,3958 / 600958,3958.HK / 600958.SH,DFZQ
3/6/17,Hang Seng China AH Index Series,Inclusion,6099 / 600999,6099.HK / 600999.SH,"China Merchants Securities Co., Ltd."
3/6/17,Hang Seng China AH Index Series,Inclusion,6178 / 601788,6178.HK / 601788.SH,Everbright Securities Co. Ltd.
3/6/17,Hang Seng China Enterprises Index,Exclusion,168,0168.HK,Tsingtao Brewery Co. Ltd. - H Shares
3/6/17,Hang Seng China Enterprises Index,Inclusion,1658,1658.HK,"Postal Savings Bank of China Co., Ltd. - H Shares"
