ticker_yf,obs_date,y_inclusion_horizon,y_exclusion_horizon,y_any_change_horizon,days_to_next_inclusion,days_to_next_exclusion,days_to_next_any_change,horizon_days,date_grid_mode,label_fully_observed,sources,universe_flag
000001.SZ,2016-03-14,0,0,0,1274.0,910.0,910.0,60,event_dates,1,master_events,all_symbols
000001.SZ,2016-06-06,0,0,0,1190.0,826.0,826.0,60,event_dates,1,master_events,all_symbols
000001.SZ,2016-09-05,0,0,0,1099.0,735.0,735.0,60,event_dates,1,master_events,all_symbols
000001.SZ,2016-12-05,0,0,0,1008.0,644.0,644.0,60,event_dates,1,master_events,all_symbols
000001.SZ,2017-03-06,0,0,0,917.0,553.0,553.0,60,event_dates,1,master_events,all_symbols
000001.SZ,2017-09-04,0,0,0,735.0,371.0,371.0,60,event_dates,1,master_events,all_symbols
000001.SZ,2017-12-04,0,0,0,644.0,280.0,280.0,60,event_dates,1,master_events,all_symbols
000001.SZ,2018-03-05,0,0,0,553.0,189.0,189.0,60,event_dates,1,master_events,all_symbols
000001.SZ,2018-06-04,0,0,0,462.0,98.0,98.0,60,event_dates,1,master_events,all_symbols
000001.SZ,2018-09-10,0,0,0,364.0,,364.0,60,event_dates,1,master_events,all_symbols
000001.SZ,2018-12-10,0,0,0,273.0,,273.0,60,event_dates,1,master_events,all_symbols
000001.SZ,2019-03-11,0,0,0,182.0,,182.0,60,event_dates,1,master_events,all_symbols
000001.SZ,2019-06-17,0,0,0,84.0,,84.0,60,event_dates,1,master_events,all_symbols
000001.SZ,2019-09-09,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2019-12-09,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2020-03-09,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2020-06-08,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2020-09-07,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2020-12-07,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2021-03-15,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2021-06-07,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2021-09-06,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2021-12-06,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2022-06-13,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2022-12-05,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2023-12-04,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2024-03-04,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2024-06-11,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2024-09-09,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2024-12-09,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2025-03-10,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2025-06-09,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2025-12-08,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000001.SZ,2026-03-09,0,0,0,,,,60,event_dates,0,master_events,all_symbols
000002.SZ,2016-03-14,0,0,0,910.0,,910.0,60,event_dates,1,master_events,all_symbols
000002.SZ,2016-06-06,0,0,0,826.0,,826.0,60,event_dates,1,master_events,all_symbols
000002.SZ,2016-09-05,0,0,0,735.0,,735.0,60,event_dates,1,master_events,all_symbols
000002.SZ,2016-12-05,0,0,0,644.0,,644.0,60,event_dates,1,master_events,all_symbols
000002.SZ,2017-03-06,0,0,0,553.0,,553.0,60,event_dates,1,master_events,all_symbols
000002.SZ,2017-09-04,0,0,0,371.0,,371.0,60,event_dates,1,master_events,all_symbols
000002.SZ,2017-12-04,0,0,0,280.0,,280.0,60,event_dates,1,master_events,all_symbols
000002.SZ,2018-03-05,0,0,0,189.0,,189.0,60,event_dates,1,master_events,all_symbols
000002.SZ,2018-06-04,0,0,0,98.0,,98.0,60,event_dates,1,master_events,all_symbols
000002.SZ,2018-09-10,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000002.SZ,2018-12-10,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000002.SZ,2019-03-11,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000002.SZ,2019-06-17,0,0,0,,,,60,event_dates,1,master_events,all_symbols
000002.SZ,2019-09-09,0,0,0,,,,60,event_dates,1,master_events,all_symbols
