ticker_yf,obs_date,y_inclusion_horizon,y_exclusion_horizon,y_any_change_horizon,days_to_next_inclusion,days_to_next_exclusion,days_to_next_any_change,horizon_days,date_grid_mode,label_fully_observed,证券代码,中文简称,英文简称,code_num,sources,universe_flag
0001.HK,2016-03-14,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2016-06-06,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2016-09-05,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2016-12-05,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2017-03-06,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2017-09-04,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2017-12-04,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2018-03-05,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2018-06-04,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2018-09-10,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2018-12-10,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2019-03-11,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2019-06-17,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2019-09-09,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2019-12-09,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2020-03-09,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2020-06-08,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2020-09-07,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2020-12-07,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2021-03-15,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2021-06-07,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
0001.HK,2021-09-06,0,0,0,,,,60,event_dates,1,1.0,长和,CKH HOLDINGS,1.0,eligible,hk_only
