metric,value,universe_flag
panel_rows_total,20842.0,hk_only
unique_tickers,613.0,hk_only
unique_obs_dates,34.0,hk_only
rows_fully_observed,20229.0,hk_only
positive_inclusion_fully_observed,0.0,hk_only
positive_exclusion_fully_observed,0.0,hk_only
positive_any_change_fully_observed,0.0,hk_only
inclusion_rate_fully_observed,0.0,hk_only
exclusion_rate_fully_observed,0.0,hk_only
any_change_rate_fully_observed,0.0,hk_only
panel_rows_total,33082.0,all_symbols
unique_tickers,973.0,all_symbols
unique_obs_dates,34.0,all_symbols
rows_fully_observed,32109.0,all_symbols
positive_inclusion_fully_observed,0.0,all_symbols
positive_exclusion_fully_observed,0.0,all_symbols
positive_any_change_fully_observed,0.0,all_symbols
inclusion_rate_fully_observed,0.0,all_symbols
exclusion_rate_fully_observed,0.0,all_symbols
any_change_rate_fully_observed,0.0,all_symbols
panel_rows_total,53924.0,combined
unique_tickers,1213.0,combined
unique_obs_dates,34.0,combined
rows_fully_observed,52338.0,combined
positive_inclusion_fully_observed,0.0,combined
positive_exclusion_fully_observed,0.0,combined
positive_any_change_fully_observed,0.0,combined
inclusion_rate_fully_observed,0.0,combined
exclusion_rate_fully_observed,0.0,combined
any_change_rate_fully_observed,0.0,combined
