证券代码,中文简称,英文简称,code_num,ticker_yf
1,长和,CKH HOLDINGS,1,0001.HK
2,中电控股,CLP HOLDINGS,2,0002.HK
3,香港中华煤气,HK & CHINA GAS,3,0003.HK
4,九龙仓集团,WHARF HOLDINGS,4,0004.HK
5,汇丰控股,HSBC HOLDINGS,5,0005.HK
6,电能实业,POWER ASSETS,6,0006.HK
8,电讯盈科,PCCW,8,0008.HK
10,恒隆集团,HANG LUNG GROUP,10,0010.HK
12,恒基地产,HENDERSON LAND,12,0012.HK
13,和黄医药,HUTCHMED,13,0013.HK
14,希慎兴业,HYSAN DEV,14,0014.HK
16,新鸿基地产,SHK PPT,16,0016.HK
17,新世界发展,NEW WORLD DEV,17,0017.HK
19,太古股份公司Ａ,SWIRE PACIFIC A,19,0019.HK
20,商汤－Ｗ,SENSETIME-W,20,0020.HK
23,东亚银行,BANK OF E ASIA,23,0023.HK
27,银河娱乐,GALAXY ENT,27,0027.HK
38,第一拖拉机股份,FIRST TRACTOR,38,0038.HK
41,鹰君,GREAT EAGLE H,41,0041.HK
66,港铁公司,MTR CORPORATION,66,0066.HK
81,中国海外宏洋集团,CH OVS G OCEANS,81,0081.HK
83,信和置业,SINO LAND,83,0083.HK
87,太古股份公司Ｂ,SWIRE PACIFIC B,87,0087.HK
101,恒隆地产,HANG LUNG PPT,101,0101.HK
107,四川成渝高速公路,SICHUAN EXPRESS,107,0107.HK
119,保利置业集团,POLY PROPERTY,119,0119.HK
123,越秀地产,YUEXIU PROPERTY,123,0123.HK
135,昆仑能源,KUNLUN ENERGY,135,0135.HK
136,中国儒意,CHINA RUYI,136,0136.HK
142,第一太平,FIRST PACIFIC,142,0142.HK
144,招商局港口,CHINA MER PORT,144,0144.HK
148,建滔集团,KINGBOARD HLDG,148,0148.HK
151,中国旺旺,WANT WANT CHINA,151,0151.HK
152,深圳国际,SHENZHEN INT'L,152,0152.HK
165,中国光大控股,CHINA EB LTD,165,0165.HK
168,青岛啤酒股份,TSINGTAO BREW,168,0168.HK
173,嘉华国际,K. WAH INT'L,173,0173.HK
175,吉利汽车,GEELY AUTO,175,0175.HK
177,江苏宁沪高速公路,JIANGSU EXPRESS,177,0177.HK
179,德昌电机控股,JOHNSON ELEC H,179,0179.HK
187,京城机电股份,JINGCHENG MAC,187,0187.HK
189,东岳集团,DONGYUE GROUP,189,0189.HK
200,新濠国际发展,MELCO INT'L DEV,200,0200.HK
220,统一企业中国,U-PRESID CHINA,220,0220.HK
241,阿里健康,ALI HEALTH,241,0241.HK
257,光大环境,EB ENVIRONMENT,257,0257.HK
267,中信股份,CITIC,267,0267.HK
268,金蝶国际,KINGDEE INT'L,268,0268.HK
270,粤海投资,GUANGDONG INV,270,0270.HK
285,比亚迪电子,BYD ELECTRONIC,285,0285.HK
288,万洲国际,WH GROUP,288,0288.HK
290,国富量子,GOFINTECH QUANT,290,0290.HK
291,华润啤酒,CHINA RES BEER,291,0291.HK
293,国泰航空,CATHAY PAC AIR,293,0293.HK
297,中化化肥,SINOFERT,297,0297.HK
300,美的集团,MIDEA GROUP,300,0300.HK
303,,VTECH HOLDINGS,303,0303.HK
308,香港中旅,CHINA TRAVEL HK,308,0308.HK
316,东方海外国际,OOIL,316,0316.HK
317,中船防务,COMEC,317,0317.HK
322,康师傅控股,TINGYI,322,0322.HK
323,马鞍山钢铁股份,MAANSHAN IRON,323,0323.HK
325,布鲁可,BLOKS,325,0325.HK
336,华宝国际,HUABAO INTL,336,0336.HK
338,上海石油化工股份,SHANGHAI PECHEM,338,0338.HK
345,,VITASOY INT'L,345,0345.HK
347,鞍钢股份,ANGANG STEEL,347,0347.HK
354,中国软件国际,CHINASOFT INT'L,354,0354.HK
358,江西铜业股份,JIANGXI COPPER,358,0358.HK
363,上海实业控股,SHANGHAI IND H,363,0363.HK
371,北控水务集团,BJ ENT WATER,371,0371.HK
384,中国燃气,CHINA GAS HOLD,384,0384.HK
386,中国石油化工股份,SINOPEC CORP,386,0386.HK
388,香港交易所,HKEX,388,0388.HK
390,中国中铁,CHINA RAILWAY,390,0390.HK
392,北京控股,BEIJING ENT,392,0392.HK
425,敏实集团（一百）,MINTH GROUP-100,425,0425.HK
440,大新金融,DAH SING,440,0440.HK
460,四环医药,SIHUAN PHARM,460,0460.HK
467,联合能源集团,UNITEDENERGY GP,467,0467.HK
470,先导智能,WUXI LEAD,470,0470.HK
501,豪威集团,OMNIVISION,501,0501.HK
506,中国食品,CHINA FOODS,506,0506.HK
512,远大医药,GRAND PHARMA,512,0512.HK
522,,ASMPT,522,0522.HK
525,广深铁路股份,GUANGSHEN RAIL,525,0525.HK
546,阜丰集团,FUFENG GROUP,546,0546.HK
548,深圳高速公路股份,SHENZHENEXPRESS,548,0548.HK
551,裕元集团,YUE YUEN IND,551,0551.HK
552,中国通信服务,CHINACOMSERVICE,552,0552.HK
553,南京熊猫电子股份,NANJING PANDA,553,0553.HK
564,中创智领,ZCZL,564,0564.HK
568,山东墨龙,SHANDONG MOLONG,568,0568.HK
570,中国中药,TRAD CHI MED,570,0570.HK
576,浙江沪杭甬,ZHEJIANGEXPRESS,576,0576.HK
586,海螺创业,CONCH VENTURE,586,0586.HK
588,北京北辰实业股份,BEIJING N STAR,588,0588.HK
590,六福集团,LUK FOOK HOLD,590,0590.HK
598,中国外运,SINOTRANS,598,0598.HK
604,深圳控股,SHENZHEN INVEST,604,0604.HK
631,三一国际,SANY INT'L,631,0631.HK
636,,KLN,636,0636.HK
638,广和通,FIBOCOM,638,0638.HK
639,首钢资源,SHOUGANG RES,639,0639.HK
656,复星国际,FOSUN INTL,656,0656.HK
659,周大福创建,CTF SERVICES,659,0659.HK
666,瑞浦兰钧,REPT BATTERO,666,0666.HK
667,中国东方教育,CHINA EAST EDU,667,0667.HK
669,创科实业,TECHTRONIC IND,669,0669.HK
670,中国东方航空股份,CHINA EAST AIR,670,0670.HK
683,嘉里建设,KERRY PPT,683,0683.HK
688,中国海外发展,CHINA OVERSEAS,688,0688.HK
696,中国民航信息网络,TRAVELSKY TECH,696,0696.HK
697,首程控股,SHOUCHENG,697,0697.HK
699,均胜电子,JOYSON ELEC,699,0699.HK
700,腾讯控股,TENCENT,700,0700.HK
719,山东新华制药股份,SHANDONG XINHUA,719,0719.HK
728,中国电信,CHINA TELECOM,728,0728.HK
751,创维集团,SKYWORTH GROUP,751,0751.HK
753,中国国航,AIR CHINA,753,0753.HK
754,合生创展集团,HOPSON DEV HOLD,754,0754.HK
762,中国联通,CHINA UNICOM,762,0762.HK
763,中兴通讯,ZTE,763,0763.HK
