ticker_yf,universe_flag,sources
000001.SZ,all_symbols,master_events
000002.SZ,all_symbols,master_events
000008.SZ,all_symbols,master_events
000009.SZ,all_symbols,master_events
000021.SZ,all_symbols,master_events
000025.SZ,all_symbols,master_events
000035.SZ,all_symbols,master_events
000036.SZ,all_symbols,master_events
000039.SZ,all_symbols,master_events
000046.SZ,all_symbols,master_events
000050.SZ,all_symbols,master_events
000060.SZ,all_symbols,master_events
000063.SZ,all_symbols,master_events
000066.SZ,all_symbols,master_events
000069.SZ,all_symbols,master_events
000070.SZ,all_symbols,master_events
000078.SZ,all_symbols,master_events
000100.SZ,all_symbols,master_events
000157.SZ,all_symbols,master_events
000166.SZ,all_symbols,master_events
0002.HK,all_symbols,master_events
000333.SZ,all_symbols,master_events
000338.SZ,all_symbols,master_events
0004.HK,all_symbols,master_events
000488.SZ,all_symbols,master_events
000513.SZ,all_symbols,master_events
000528.SZ,all_symbols,master_events
000538.SZ,all_symbols,master_events
000539.SZ,all_symbols,master_events
000540.SZ,all_symbols,master_events
000546.SZ,all_symbols,master_events
000555.SZ,all_symbols,master_events
000568.SZ,all_symbols,master_events
000625.SZ,all_symbols,master_events
000725.SZ,all_symbols,master_events
000776.SZ,all_symbols,master_events
0008.HK,all_symbols,master_events
000825.SZ,all_symbols,master_events
000839.SZ,all_symbols,master_events
000858.SZ,all_symbols,master_events
000876.SZ,all_symbols,master_events
000893.SZ,all_symbols,master_events
000898.SZ,all_symbols,master_events
000921.SZ,all_symbols,master_events
000967.SZ,all_symbols,master_events
000997.SZ,all_symbols,master_events
0010.HK,all_symbols,master_events
0013.HK,all_symbols,master_events
001323.SZ,all_symbols,master_events
0014.HK,all_symbols,master_events
0016.HK,all_symbols,master_events
0017.HK,all_symbols,master_events
0019.HK,all_symbols,master_events
001979.SZ,all_symbols,master_events
0020.HK,all_symbols,master_events
002016.SZ,all_symbols,master_events
002024.SZ,all_symbols,master_events
002027.SZ,all_symbols,master_events
002047.SZ,all_symbols,master_events
002078.SZ,all_symbols,master_events
002163.SZ,all_symbols,master_events
002168.SZ,all_symbols,master_events
002179.SZ,all_symbols,master_events
002191.SZ,all_symbols,master_events
002202.SZ,all_symbols,master_events
002240.SZ,all_symbols,master_events
002241.SZ,all_symbols,master_events
002243.SZ,all_symbols,master_events
002249.SZ,all_symbols,master_events
002292.SZ,all_symbols,master_events
0023.HK,all_symbols,master_events
002303.SZ,all_symbols,master_events
002304.SZ,all_symbols,master_events
002351.SZ,all_symbols,master_events
002352.SZ,all_symbols,master_events
002371.SZ,all_symbols,master_events
002407.SZ,all_symbols,master_events
002415.SZ,all_symbols,master_events
002421.SZ,all_symbols,master_events
002429.SZ,all_symbols,master_events
002460.SZ,all_symbols,master_events
002475.SZ,all_symbols,master_events
002482.SZ,all_symbols,master_events
002493.SZ,all_symbols,master_events
002503.SZ,all_symbols,master_events
002594.SZ,all_symbols,master_events
002600.SZ,all_symbols,master_events
002601.SZ,all_symbols,master_events
002611.SZ,all_symbols,master_events
002670.SZ,all_symbols,master_events
002714.SZ,all_symbols,master_events
002717.SZ,all_symbols,master_events
002736.SZ,all_symbols,master_events
002791.SZ,all_symbols,master_events
002815.SZ,all_symbols,master_events
002850.SZ,all_symbols,master_events
0029.HK,all_symbols,master_events
002916.SZ,all_symbols,master_events
002967.SZ,all_symbols,master_events
003012.SZ,all_symbols,master_events
0035.HK,all_symbols,master_events
003816.SZ,all_symbols,master_events
0041.HK,all_symbols,master_events
0043.HK,all_symbols,master_events
0045.HK,all_symbols,master_events
0048.HK,all_symbols,master_events
0052.HK,all_symbols,master_events
0054.HK,all_symbols,master_events
0059.HK,all_symbols,master_events
0066.HK,all_symbols,master_events
0069.HK,all_symbols,master_events
0078.HK,all_symbols,master_events
0081.HK,all_symbols,master_events
0083.HK,all_symbols,master_events
0086.HK,all_symbols,master_events
0087.HK,all_symbols,master_events
0095.HK,all_symbols,master_events
0104.HK,all_symbols,master_events
0109.HK,all_symbols,master_events
0115.HK,all_symbols,master_events
0116.HK,all_symbols,master_events
0120.HK,all_symbols,master_events
0123.HK,all_symbols,master_events
0124.HK,all_symbols,master_events
0127.HK,all_symbols,master_events
0135.HK,all_symbols,master_events
0136.HK,all_symbols,master_events
0142.HK,all_symbols,master_events
0144.HK,all_symbols,master_events
0148.HK,all_symbols,master_events
0151.HK,all_symbols,master_events
0163.HK,all_symbols,master_events
0165.HK,all_symbols,master_events
0168.HK,all_symbols,master_events
0173.HK,all_symbols,master_events
0175.HK,all_symbols,master_events
0177.HK,all_symbols,master_events
0178.HK,all_symbols,master_events
0179.HK,all_symbols,master_events
0200.HK,all_symbols,master_events
0207.HK,all_symbols,master_events
0215.HK,all_symbols,master_events
0241.HK,all_symbols,master_events
0242.HK,all_symbols,master_events
0245.HK,all_symbols,master_events
0257.HK,all_symbols,master_events
0267.HK,all_symbols,master_events
0268.HK,all_symbols,master_events
0270.HK,all_symbols,master_events
0283.HK,all_symbols,master_events
0285.HK,all_symbols,master_events
0288.HK,all_symbols,master_events
0291.HK,all_symbols,master_events
0293.HK,all_symbols,master_events
0297.HK,all_symbols,master_events
0300.HK,all_symbols,master_events
0302.HK,all_symbols,master_events
0308.HK,all_symbols,master_events
0314.HK,all_symbols,master_events
0315.HK,all_symbols,master_events
0316.HK,all_symbols,master_events
0317.HK,all_symbols,master_events
0321.HK,all_symbols,master_events
0322.HK,all_symbols,master_events
0323.HK,all_symbols,master_events
0325.HK,all_symbols,master_events
0327.HK,all_symbols,master_events
