ticker_yf,universe_flag,sources
0001.HK,hk_only,eligible
0002.HK,hk_only,eligible
0003.HK,hk_only,eligible
0004.HK,hk_only,eligible
0005.HK,hk_only,eligible
0006.HK,hk_only,eligible
0008.HK,hk_only,eligible
0010.HK,hk_only,eligible
0012.HK,hk_only,eligible
0013.HK,hk_only,eligible
0014.HK,hk_only,eligible
0016.HK,hk_only,eligible
0017.HK,hk_only,eligible
0019.HK,hk_only,eligible
0020.HK,hk_only,eligible
0023.HK,hk_only,eligible
0027.HK,hk_only,eligible
0038.HK,hk_only,eligible
0041.HK,hk_only,eligible
0066.HK,hk_only,eligible
0081.HK,hk_only,eligible
0083.HK,hk_only,eligible
0087.HK,hk_only,eligible
0101.HK,hk_only,eligible
0107.HK,hk_only,eligible
0119.HK,hk_only,eligible
0123.HK,hk_only,eligible
0135.HK,hk_only,eligible
0136.HK,hk_only,eligible
0142.HK,hk_only,eligible
0144.HK,hk_only,eligible
0148.HK,hk_only,eligible
0151.HK,hk_only,eligible
0152.HK,hk_only,eligible
0165.HK,hk_only,eligible
0168.HK,hk_only,eligible
0173.HK,hk_only,eligible
0175.HK,hk_only,eligible
0177.HK,hk_only,eligible
0179.HK,hk_only,eligible
0187.HK,hk_only,eligible
0189.HK,hk_only,eligible
0200.HK,hk_only,eligible
0220.HK,hk_only,eligible
0241.HK,hk_only,eligible
0257.HK,hk_only,eligible
0267.HK,hk_only,eligible
0268.HK,hk_only,eligible
0270.HK,hk_only,eligible
0285.HK,hk_only,eligible
0288.HK,hk_only,eligible
0290.HK,hk_only,eligible
0291.HK,hk_only,eligible
0293.HK,hk_only,eligible
0297.HK,hk_only,eligible
0300.HK,hk_only,eligible
0303.HK,hk_only,eligible
0308.HK,hk_only,eligible
0316.HK,hk_only,eligible
0317.HK,hk_only,eligible
0322.HK,hk_only,eligible
0323.HK,hk_only,eligible
0325.HK,hk_only,eligible
0336.HK,hk_only,eligible
0338.HK,hk_only,eligible
0345.HK,hk_only,eligible
0347.HK,hk_only,eligible
0354.HK,hk_only,eligible
0358.HK,hk_only,eligible
0363.HK,hk_only,eligible
0371.HK,hk_only,eligible
0384.HK,hk_only,eligible
0386.HK,hk_only,eligible
0388.HK,hk_only,eligible
0390.HK,hk_only,eligible
0392.HK,hk_only,eligible
0425.HK,hk_only,eligible
0440.HK,hk_only,eligible
0460.HK,hk_only,eligible
0467.HK,hk_only,eligible
0470.HK,hk_only,eligible
0501.HK,hk_only,eligible
0506.HK,hk_only,eligible
0512.HK,hk_only,eligible
0522.HK,hk_only,eligible
0525.HK,hk_only,eligible
0546.HK,hk_only,eligible
0548.HK,hk_only,eligible
0551.HK,hk_only,eligible
0552.HK,hk_only,eligible
0553.HK,hk_only,eligible
0564.HK,hk_only,eligible
0568.HK,hk_only,eligible
0570.HK,hk_only,eligible
0576.HK,hk_only,eligible
0586.HK,hk_only,eligible
0588.HK,hk_only,eligible
0590.HK,hk_only,eligible
0598.HK,hk_only,eligible
0604.HK,hk_only,eligible
0631.HK,hk_only,eligible
0636.HK,hk_only,eligible
0638.HK,hk_only,eligible
0639.HK,hk_only,eligible
0656.HK,hk_only,eligible
0659.HK,hk_only,eligible
0666.HK,hk_only,eligible
0667.HK,hk_only,eligible
0669.HK,hk_only,eligible
0670.HK,hk_only,eligible
0683.HK,hk_only,eligible
0688.HK,hk_only,eligible
0696.HK,hk_only,eligible
0697.HK,hk_only,eligible
0699.HK,hk_only,eligible
0700.HK,hk_only,eligible
0719.HK,hk_only,eligible
0728.HK,hk_only,eligible
0751.HK,hk_only,eligible
0753.HK,hk_only,eligible
0754.HK,hk_only,eligible
0762.HK,hk_only,eligible
0763.HK,hk_only,eligible
0772.HK,hk_only,eligible
0780.HK,hk_only,eligible
0788.HK,hk_only,eligible
0811.HK,hk_only,eligible
0817.HK,hk_only,eligible
0819.HK,hk_only,eligible
0826.HK,hk_only,eligible
0836.HK,hk_only,eligible
0839.HK,hk_only,eligible
0853.HK,hk_only,eligible
0855.HK,hk_only,eligible
0856.HK,hk_only,eligible
0857.HK,hk_only,eligible
0867.HK,hk_only,eligible
0868.HK,hk_only,eligible
0874.HK,hk_only,eligible
0880.HK,hk_only,eligible
0881.HK,hk_only,eligible
0883.HK,hk_only,eligible
0895.HK,hk_only,eligible
0902.HK,hk_only,eligible
0909.HK,hk_only,eligible
0914.HK,hk_only,eligible
0916.HK,hk_only,eligible
0917.HK,hk_only,eligible
0921.HK,hk_only,eligible
0934.HK,hk_only,eligible
0939.HK,hk_only,eligible
0941.HK,hk_only,eligible
0956.HK,hk_only,eligible
0960.HK,hk_only,eligible
0966.HK,hk_only,eligible
0968.HK,hk_only,eligible
0975.HK,hk_only,eligible
0981.HK,hk_only,eligible
0990.HK,hk_only,eligible
0991.HK,hk_only,eligible
0992.HK,hk_only,eligible
0995.HK,hk_only,eligible
0998.HK,hk_only,eligible
0999.HK,hk_only,eligible
1024.HK,hk_only,eligible
1030.HK,hk_only,eligible
1033.HK,hk_only,eligible
1038.HK,hk_only,eligible
1044.HK,hk_only,eligible
1052.HK,hk_only,eligible
1053.HK,hk_only,eligible
1055.HK,hk_only,eligible
1057.HK,hk_only,eligible
1060.HK,hk_only,eligible
1065.HK,hk_only,eligible
1066.HK,hk_only,eligible
1070.HK,hk_only,eligible
1071.HK,hk_only,eligible
1072.HK,hk_only,eligible
1083.HK,hk_only,eligible
1088.HK,hk_only,eligible
1093.HK,hk_only,eligible
1099.HK,hk_only,eligible
1108.HK,hk_only,eligible
1109.HK,hk_only,eligible
1112.HK,hk_only,eligible
1113.HK,hk_only,eligible
1114.HK,hk_only,eligible
1117.HK,hk_only,eligible
1128.HK,hk_only,eligible
1138.HK,hk_only,eligible
1157.HK,hk_only,eligible
1164.HK,hk_only,eligible
1171.HK,hk_only,eligible
1177.HK,hk_only,eligible
1186.HK,hk_only,eligible
1193.HK,hk_only,eligible
1196.HK,hk_only,eligible
1199.HK,hk_only,eligible
1208.HK,hk_only,eligible
1209.HK,hk_only,eligible
1211.HK,hk_only,eligible
1258.HK,hk_only,eligible
1276.HK,hk_only,eligible
1277.HK,hk_only,eligible
1288.HK,hk_only,eligible
1299.HK,hk_only,eligible
1302.HK,hk_only,eligible
1304.HK,hk_only,eligible
1308.HK,hk_only,eligible
1310.HK,hk_only,eligible
1313.HK,hk_only,eligible
1316.HK,hk_only,eligible
1318.HK,hk_only,eligible
1330.HK,hk_only,eligible
1333.HK,hk_only,eligible
1336.HK,hk_only,eligible
1339.HK,hk_only,eligible
1347.HK,hk_only,eligible
1349.HK,hk_only,eligible
1357.HK,hk_only,eligible
1359.HK,hk_only,eligible
1361.HK,hk_only,eligible
1364.HK,hk_only,eligible
1368.HK,hk_only,eligible
1375.HK,hk_only,eligible
1378.HK,hk_only,eligible
1384.HK,hk_only,eligible
1385.HK,hk_only,eligible
1398.HK,hk_only,eligible
1405.HK,hk_only,eligible
1415.HK,hk_only,eligible
1428.HK,hk_only,eligible
1448.HK,hk_only,eligible
1456.HK,hk_only,eligible
1475.HK,hk_only,eligible
1478.HK,hk_only,eligible
1513.HK,hk_only,eligible
1519.HK,hk_only,eligible
1528.HK,hk_only,eligible
1530.HK,hk_only,eligible
1548.HK,hk_only,eligible
1579.HK,hk_only,eligible
1585.HK,hk_only,eligible
1610.HK,hk_only,eligible
1618.HK,hk_only,eligible
1635.HK,hk_only,eligible
1658.HK,hk_only,eligible
1675.HK,hk_only,eligible
1681.HK,hk_only,eligible
1686.HK,hk_only,eligible
1691.HK,hk_only,eligible
1729.HK,hk_only,eligible
1735.HK,hk_only,eligible
1766.HK,hk_only,eligible
1772.HK,hk_only,eligible
1773.HK,hk_only,eligible
1776.HK,hk_only,eligible
1783.HK,hk_only,eligible
1787.HK,hk_only,eligible
1788.HK,hk_only,eligible
1789.HK,hk_only,eligible
1797.HK,hk_only,eligible
1800.HK,hk_only,eligible
1801.HK,hk_only,eligible
1810.HK,hk_only,eligible
1811.HK,hk_only,eligible
1816.HK,hk_only,eligible
1818.HK,hk_only,eligible
1828.HK,hk_only,eligible
1833.HK,hk_only,eligible
1836.HK,hk_only,eligible
1858.HK,hk_only,eligible
1860.HK,hk_only,eligible
1876.HK,hk_only,eligible
1877.HK,hk_only,eligible
1880.HK,hk_only,eligible
1882.HK,hk_only,eligible
1883.HK,hk_only,eligible
1888.HK,hk_only,eligible
1896.HK,hk_only,eligible
1898.HK,hk_only,eligible
1907.HK,hk_only,eligible
1908.HK,hk_only,eligible
1910.HK,hk_only,eligible
1918.HK,hk_only,eligible
1919.HK,hk_only,eligible
1921.HK,hk_only,eligible
1928.HK,hk_only,eligible
1929.HK,hk_only,eligible
1951.HK,hk_only,eligible
1952.HK,hk_only,eligible
1963.HK,hk_only,eligible
1972.HK,hk_only,eligible
1988.HK,hk_only,eligible
1997.HK,hk_only,eligible
1999.HK,hk_only,eligible
2005.HK,hk_only,eligible
2007.HK,hk_only,eligible
2009.HK,hk_only,eligible
2013.HK,hk_only,eligible
2015.HK,hk_only,eligible
2016.HK,hk_only,eligible
2018.HK,hk_only,eligible
2020.HK,hk_only,eligible
2038.HK,hk_only,eligible
2039.HK,hk_only,eligible
2050.HK,hk_only,eligible
2057.HK,hk_only,eligible
2068.HK,hk_only,eligible
2096.HK,hk_only,eligible
2097.HK,hk_only,eligible
2099.HK,hk_only,eligible
2128.HK,hk_only,eligible
2145.HK,hk_only,eligible
2155.HK,hk_only,eligible
2157.HK,hk_only,eligible
2158.HK,hk_only,eligible
2162.HK,hk_only,eligible
2171.HK,hk_only,eligible
2172.HK,hk_only,eligible
2186.HK,hk_only,eligible
2192.HK,hk_only,eligible
2196.HK,hk_only,eligible
2202.HK,hk_only,eligible
2208.HK,hk_only,eligible
2218.HK,hk_only,eligible
2228.HK,hk_only,eligible
2232.HK,hk_only,eligible
2233.HK,hk_only,eligible
2238.HK,hk_only,eligible
2252.HK,hk_only,eligible
2255.HK,hk_only,eligible
2259.HK,hk_only,eligible
2268.HK,hk_only,eligible
2269.HK,hk_only,eligible
2273.HK,hk_only,eligible
2276.HK,hk_only,eligible
2282.HK,hk_only,eligible
2285.HK,hk_only,eligible
2291.HK,hk_only,eligible
2313.HK,hk_only,eligible
2314.HK,hk_only,eligible
2315.HK,hk_only,eligible
2318.HK,hk_only,eligible
2319.HK,hk_only,eligible
2328.HK,hk_only,eligible
2331.HK,hk_only,eligible
2333.HK,hk_only,eligible
2338.HK,hk_only,eligible
2343.HK,hk_only,eligible
2356.HK,hk_only,eligible
2357.HK,hk_only,eligible
2359.HK,hk_only,eligible
2367.HK,hk_only,eligible
2378.HK,hk_only,eligible
2380.HK,hk_only,eligible
2382.HK,hk_only,eligible
2386.HK,hk_only,eligible
2388.HK,hk_only,eligible
2400.HK,hk_only,eligible
2402.HK,hk_only,eligible
2410.HK,hk_only,eligible
2419.HK,hk_only,eligible
2423.HK,hk_only,eligible
2431.HK,hk_only,eligible
2432.HK,hk_only,eligible
2460.HK,hk_only,eligible
2465.HK,hk_only,eligible
2473.HK,hk_only,eligible
2477.HK,hk_only,eligible
2498.HK,hk_only,eligible
2506.HK,hk_only,eligible
2507.HK,hk_only,eligible
2510.HK,hk_only,eligible
2517.HK,hk_only,eligible
2533.HK,hk_only,eligible
2555.HK,hk_only,eligible
2556.HK,hk_only,eligible
2562.HK,hk_only,eligible
2565.HK,hk_only,eligible
2570.HK,hk_only,eligible
2575.HK,hk_only,eligible
2577.HK,hk_only,eligible
2579.HK,hk_only,eligible
2580.HK,hk_only,eligible
2582.HK,hk_only,eligible
2583.HK,hk_only,eligible
2586.HK,hk_only,eligible
2587.HK,hk_only,eligible
2588.HK,hk_only,eligible
2589.HK,hk_only,eligible
2590.HK,hk_only,eligible
2591.HK,hk_only,eligible
2595.HK,hk_only,eligible
2600.HK,hk_only,eligible
2601.HK,hk_only,eligible
2602.HK,hk_only,eligible
2603.HK,hk_only,eligible
2607.HK,hk_only,eligible
2609.HK,hk_only,eligible
2610.HK,hk_only,eligible
2611.HK,hk_only,eligible
2617.HK,hk_only,eligible
2618.HK,hk_only,eligible
2627.HK,hk_only,eligible
2628.HK,hk_only,eligible
2629.HK,hk_only,eligible
2631.HK,hk_only,eligible
2637.HK,hk_only,eligible
2643.HK,hk_only,eligible
2648.HK,hk_only,eligible
2652.HK,hk_only,eligible
2655.HK,hk_only,eligible
2656.HK,hk_only,eligible
2659.HK,hk_only,eligible
2661.HK,hk_only,eligible
2665.HK,hk_only,eligible
2666.HK,hk_only,eligible
2669.HK,hk_only,eligible
2676.HK,hk_only,eligible
2685.HK,hk_only,eligible
2687.HK,hk_only,eligible
2688.HK,hk_only,eligible
2689.HK,hk_only,eligible
2691.HK,hk_only,eligible
2692.HK,hk_only,eligible
2698.HK,hk_only,eligible
2714.HK,hk_only,eligible
2727.HK,hk_only,eligible
2768.HK,hk_only,eligible
2788.HK,hk_only,eligible
2799.HK,hk_only,eligible
2800.HK,hk_only,eligible
2801.HK,hk_only,eligible
2825.HK,hk_only,eligible
2828.HK,hk_only,eligible
2837.HK,hk_only,eligible
2858.HK,hk_only,eligible
2865.HK,hk_only,eligible
2866.HK,hk_only,eligible
2869.HK,hk_only,eligible
2877.HK,hk_only,eligible
2880.HK,hk_only,eligible
2883.HK,hk_only,eligible
2888.HK,hk_only,eligible
2889.HK,hk_only,eligible
2899.HK,hk_only,eligible
3032.HK,hk_only,eligible
3033.HK,hk_only,eligible
3037.HK,hk_only,eligible
3039.HK,hk_only,eligible
3040.HK,hk_only,eligible
3067.HK,hk_only,eligible
3069.HK,hk_only,eligible
3070.HK,hk_only,eligible
3088.HK,hk_only,eligible
3110.HK,hk_only,eligible
3115.HK,hk_only,eligible
3167.HK,hk_only,eligible
3174.HK,hk_only,eligible
3200.HK,hk_only,eligible
3268.HK,hk_only,eligible
3288.HK,hk_only,eligible
3306.HK,hk_only,eligible
3311.HK,hk_only,eligible
3317.HK,hk_only,eligible
3320.HK,hk_only,eligible
3323.HK,hk_only,eligible
3328.HK,hk_only,eligible
3330.HK,hk_only,eligible
3339.HK,hk_only,eligible
3347.HK,hk_only,eligible
3360.HK,hk_only,eligible
3369.HK,hk_only,eligible
3380.HK,hk_only,eligible
3393.HK,hk_only,eligible
3396.HK,hk_only,eligible
3403.HK,hk_only,eligible
3423.HK,hk_only,eligible
3432.HK,hk_only,eligible
3441.HK,hk_only,eligible
3442.HK,hk_only,eligible
3606.HK,hk_only,eligible
3613.HK,hk_only,eligible
3618.HK,hk_only,eligible
3633.HK,hk_only,eligible
3668.HK,hk_only,eligible
3677.HK,hk_only,eligible
3678.HK,hk_only,eligible
3690.HK,hk_only,eligible
3692.HK,hk_only,eligible
3696.HK,hk_only,eligible
3698.HK,hk_only,eligible
3738.HK,hk_only,eligible
3750.HK,hk_only,eligible
3759.HK,hk_only,eligible
3800.HK,hk_only,eligible
3808.HK,hk_only,eligible
3858.HK,hk_only,eligible
3866.HK,hk_only,eligible
3868.HK,hk_only,eligible
3877.HK,hk_only,eligible
3888.HK,hk_only,eligible
3896.HK,hk_only,eligible
3898.HK,hk_only,eligible
3899.HK,hk_only,eligible
3900.HK,hk_only,eligible
3908.HK,hk_only,eligible
3918.HK,hk_only,eligible
3931.HK,hk_only,eligible
3933.HK,hk_only,eligible
3939.HK,hk_only,eligible
3958.HK,hk_only,eligible
3968.HK,hk_only,eligible
3969.HK,hk_only,eligible
3986.HK,hk_only,eligible
3988.HK,hk_only,eligible
3993.HK,hk_only,eligible
3996.HK,hk_only,eligible
3998.HK,hk_only,eligible
6030.HK,hk_only,eligible
6031.HK,hk_only,eligible
6049.HK,hk_only,eligible
6055.HK,hk_only,eligible
6060.HK,hk_only,eligible
6066.HK,hk_only,eligible
6069.HK,hk_only,eligible
6078.HK,hk_only,eligible
6088.HK,hk_only,eligible
6090.HK,hk_only,eligible
6098.HK,hk_only,eligible
