year_month,change_type,event_count
2016-03,Exclusion,10
2016-03,Inclusion,32
2016-06,Inclusion,2
2016-09,Exclusion,22
2016-09,Inclusion,30
2016-12,Exclusion,1
2016-12,Inclusion,1
2017-03,Exclusion,29
2017-03,Inclusion,18
2017-09,Exclusion,48
2017-09,Inclusion,72
2017-12,Exclusion,3
2017-12,Inclusion,5
2018-03,Exclusion,22
2018-03,Inclusion,38
2018-06,Exclusion,2
2018-06,Inclusion,3
2018-09,Exclusion,82
2018-09,Inclusion,80
2018-12,Exclusion,1
2018-12,Inclusion,4
2019-03,Exclusion,42
2019-03,Inclusion,24
2019-06,Exclusion,5
2019-06,Inclusion,6
2019-09,Exclusion,52
2019-09,Inclusion,183
2019-12,Exclusion,2
2019-12,Inclusion,3
2020-03,Inclusion,36
2020-03,Removal,40
2020-06,Inclusion,3
2020-06,Removal,3
2020-09,Inclusion,85
2020-09,Removal,76
2020-12,Inclusion,21
2020-12,Removal,12
2021-03,Inclusion,62
2021-03,Removal,55
2021-06,Inclusion,11
2021-06,Removal,6
2021-09,Inclusion,87
2021-09,Removal,91
2021-12,Inclusion,8
2021-12,Removal,1
2022-06,Inclusion,7
2022-06,Removal,3
2022-12,Inclusion,14
2022-12,Removal,8
2023-12,Inclusion,6
2023-12,Removal,2
2024-03,Inclusion,40
2024-03,Removal,22
2024-06,Inclusion,9
2024-06,Removal,8
2024-09,Inclusion,116
2024-09,Removal,93
2024-12,Inclusion,9
2024-12,Removal,6
2025-03,Inclusion,34
2025-03,Removal,46
2025-06,Inclusion,8
2025-06,Removal,3
2025-12,Inclusion,15
2025-12,Removal,8
2026-03,Inclusion,4
2026-03,Removal,4
