ticker_yf,sources,status,n_rows,min_date,max_date,error
0001.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0002.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0003.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
000333.SZ,event,success_downloaded,917,2022-06-08,2026-03-19,
0004.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0005.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
000568.SZ,event,success_downloaded,917,2022-06-08,2026-03-19,
0006.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0008.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0010.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0012.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0013.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0014.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0016.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0017.HK,"eligible,event",success_downloaded,930,2022-06-08,2026-03-19,
0019.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0020.HK,"eligible,event",success_downloaded,930,2022-06-08,2026-03-19,
0023.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0027.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0038.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0041.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0066.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0081.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0083.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0087.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0101.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0107.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0119.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0123.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0135.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0136.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0142.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0144.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0148.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0151.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0152.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0165.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0168.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0173.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0175.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0177.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0179.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0187.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0189.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0200.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0220.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0241.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0257.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0267.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0268.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
0270.HK,eligible,success_downloaded,930,2022-06-08,2026-03-19,
