ticker_yf,status,n_rows,min_date,max_date,yahoo_symbol_used,error
0001.HK,success_cached,2767,2014-12-22,2026-03-19,0001.HK,
0002.HK,success_cached,2767,2014-12-22,2026-03-19,0002.HK,
0003.HK,success_cached,2767,2014-12-22,2026-03-19,0003.HK,
0004.HK,success_cached,2767,2014-12-22,2026-03-19,0004.HK,
0005.HK,success_cached,2767,2014-12-22,2026-03-19,0005.HK,
0006.HK,success_cached,2767,2014-12-22,2026-03-19,0006.HK,
0008.HK,success_cached,2767,2014-12-22,2026-03-19,0008.HK,
0010.HK,success_cached,2767,2014-12-22,2026-03-19,0010.HK,
0012.HK,success_cached,2767,2014-12-22,2026-03-19,0012.HK,
0013.HK,success_cached,1160,2021-06-30,2026-03-19,0013.HK,
0014.HK,success_cached,2767,2014-12-22,2026-03-19,0014.HK,
0016.HK,success_cached,2767,2014-12-22,2026-03-19,0016.HK,
0017.HK,success_cached,2767,2014-12-22,2026-03-19,0017.HK,
0019.HK,success_cached,2767,2014-12-22,2026-03-19,0019.HK,
0020.HK,success_cached,1035,2021-12-30,2026-03-19,0020.HK,
0023.HK,success_cached,2767,2014-12-22,2026-03-19,0023.HK,
0027.HK,success_cached,2767,2014-12-22,2026-03-19,0027.HK,
0038.HK,success_cached,2767,2014-12-22,2026-03-19,0038.HK,
0041.HK,success_cached,2767,2014-12-22,2026-03-19,0041.HK,
0066.HK,success_cached,2767,2014-12-22,2026-03-19,0066.HK,
0081.HK,success_cached,2767,2014-12-22,2026-03-19,0081.HK,
0083.HK,success_cached,2767,2014-12-22,2026-03-19,0083.HK,
0087.HK,success_cached,2767,2014-12-22,2026-03-19,0087.HK,
0101.HK,success_cached,2767,2014-12-22,2026-03-19,0101.HK,
0107.HK,success_cached,2767,2014-12-22,2026-03-19,0107.HK,
0119.HK,success_cached,2767,2014-12-22,2026-03-19,0119.HK,
0123.HK,success_cached,2767,2014-12-22,2026-03-19,0123.HK,
0135.HK,success_cached,2767,2014-12-22,2026-03-19,0135.HK,
0136.HK,success_cached,2767,2014-12-22,2026-03-19,0136.HK,
0142.HK,success_cached,2767,2014-12-22,2026-03-19,0142.HK,
0144.HK,success_cached,2767,2014-12-22,2026-03-19,0144.HK,
0148.HK,success_cached,2767,2014-12-22,2026-03-19,0148.HK,
0151.HK,success_cached,2767,2014-12-22,2026-03-19,0151.HK,
0152.HK,success_cached,2767,2014-12-22,2026-03-19,0152.HK,
0165.HK,success_cached,2767,2014-12-22,2026-03-19,0165.HK,
0168.HK,success_cached,2767,2014-12-22,2026-03-19,0168.HK,
0173.HK,success_cached,2767,2014-12-22,2026-03-19,0173.HK,
0175.HK,success_cached,2767,2014-12-22,2026-03-19,0175.HK,
0177.HK,success_cached,2767,2014-12-22,2026-03-19,0177.HK,
0179.HK,success_cached,2767,2014-12-22,2026-03-19,0179.HK,
0187.HK,success_cached,2767,2014-12-22,2026-03-19,0187.HK,
0189.HK,success_cached,2767,2014-12-22,2026-03-19,0189.HK,
0200.HK,success_cached,2767,2014-12-22,2026-03-19,0200.HK,
0220.HK,success_cached,2767,2014-12-22,2026-03-19,0220.HK,
0241.HK,success_cached,2767,2014-12-22,2026-03-19,0241.HK,
0257.HK,success_cached,2767,2014-12-22,2026-03-19,0257.HK,
0267.HK,success_cached,2767,2014-12-22,2026-03-19,0267.HK,
0268.HK,success_cached,2767,2014-12-22,2026-03-19,0268.HK,
0270.HK,success_cached,2767,2014-12-22,2026-03-19,0270.HK,
0285.HK,success_cached,2767,2014-12-22,2026-03-19,0285.HK,
0288.HK,success_cached,2767,2014-12-22,2026-03-19,0288.HK,
0290.HK,success_cached,2767,2014-12-22,2026-03-19,0290.HK,
0291.HK,success_cached,2767,2014-12-22,2026-03-19,0291.HK,
0293.HK,success_cached,2767,2014-12-22,2026-03-19,0293.HK,
0297.HK,success_cached,2767,2014-12-22,2026-03-19,0297.HK,
0300.HK,success_cached,361,2024-07-05,2026-03-19,0300.HK,
0303.HK,success_cached,2767,2014-12-22,2026-03-19,0303.HK,
0308.HK,success_cached,2767,2014-12-22,2026-03-19,0308.HK,
0316.HK,success_cached,2767,2014-12-22,2026-03-19,0316.HK,
0317.HK,success_cached,2767,2014-12-22,2026-03-19,0317.HK,
0322.HK,success_cached,2767,2014-12-22,2026-03-19,0322.HK,
0323.HK,success_cached,2767,2014-12-22,2026-03-19,0323.HK,
0325.HK,success_cached,292,2025-01-10,2026-03-19,0325.HK,
0336.HK,success_cached,2767,2014-12-22,2026-03-19,0336.HK,
0338.HK,success_cached,2767,2014-12-22,2026-03-19,0338.HK,
0345.HK,success_cached,2767,2014-12-22,2026-03-19,0345.HK,
0347.HK,success_cached,2767,2014-12-22,2026-03-19,0347.HK,
0354.HK,success_cached,2767,2014-12-22,2026-03-19,0354.HK,
0358.HK,success_cached,2767,2014-12-22,2026-03-19,0358.HK,
0363.HK,success_cached,2767,2014-12-22,2026-03-19,0363.HK,
0371.HK,success_cached,2767,2014-12-22,2026-03-19,0371.HK,
0384.HK,success_cached,2767,2014-12-22,2026-03-19,0384.HK,
0386.HK,success_cached,2767,2014-12-22,2026-03-19,0386.HK,
0388.HK,success_cached,2767,2014-12-22,2026-03-19,0388.HK,
0390.HK,success_cached,2767,2014-12-22,2026-03-19,0390.HK,
0392.HK,success_cached,2767,2014-12-22,2026-03-19,0392.HK,
0425.HK,success_cached,2767,2014-12-22,2026-03-19,0425.HK,
0440.HK,success_cached,2767,2014-12-22,2026-03-19,0440.HK,
0460.HK,success_cached,2767,2014-12-22,2026-03-19,0460.HK,
0467.HK,success_cached,2767,2014-12-22,2026-03-19,0467.HK,
0470.HK,success_cached,24,2026-02-11,2026-03-19,0470.HK,
0501.HK,success_cached,1,2026-03-19,2026-03-19,0501.HK,
0506.HK,success_cached,2767,2014-12-22,2026-03-19,0506.HK,
0512.HK,success_cached,2767,2014-12-22,2026-03-19,0512.HK,
0522.HK,success_cached,2767,2014-12-22,2026-03-19,0522.HK,
0525.HK,success_cached,2767,2014-12-22,2026-03-19,0525.HK,
0546.HK,success_cached,2767,2014-12-22,2026-03-19,0546.HK,
0548.HK,success_cached,2767,2014-12-22,2026-03-19,0548.HK,
0551.HK,success_cached,2767,2014-12-22,2026-03-19,0551.HK,
0552.HK,success_cached,2767,2014-12-22,2026-03-19,0552.HK,
0553.HK,success_cached,2767,2014-12-22,2026-03-19,0553.HK,
0564.HK,success_cached,2767,2014-12-22,2026-03-19,0564.HK,
0568.HK,success_cached,2767,2014-12-22,2026-03-19,0568.HK,
