ticker_yf,status,n_rows,min_date,max_date,yahoo_symbol_used,error
000046.SZ,failed_empty,0,,,,empty_history
000540.SZ,failed_empty,0,,,,empty_history
002503.SZ,failed_empty,0,,,,empty_history
0043.HK,failed_empty,0,,,,empty_history
0054.HK,failed_empty,0,,,,empty_history
0109.HK,failed_empty,0,,,,empty_history
0207.HK,failed_empty,0,,,,empty_history
0494.HK,failed_empty,0,,,,empty_history
0530.HK,failed_empty,0,,,,empty_history
0680.HK,failed_empty,0,,,,empty_history
0787.HK,failed_empty,0,,,,empty_history
0801.HK,failed_empty,0,,,,empty_history
0906.HK,failed_empty,0,,,,empty_history
0958.HK,failed_empty,0,,,,empty_history
0973.HK,failed_empty,0,,,,empty_history
0996.HK,failed_empty,0,,,,empty_history
1031.HK,failed_empty,0,,,,empty_history
1076.HK,failed_empty,0,,,,empty_history
1131.HK,failed_empty,0,,,,empty_history
1212.HK,failed_empty,0,,,,empty_history
1230.HK,failed_empty,0,,,,empty_history
1311.HK,failed_empty,0,,,,empty_history
1337.HK,failed_empty,0,,,,empty_history
1363.HK,failed_empty,0,,,,empty_history
1381.HK,failed_empty,0,,,,empty_history
1558.HK,failed_empty,0,,,,empty_history
1806.HK,failed_empty,0,,,,empty_history
1821.HK,failed_empty,0,,,,empty_history
1992.HK,failed_empty,0,,,,empty_history
2066.HK,failed_empty,0,,,,empty_history
2103.HK,failed_empty,0,,,,empty_history
2148.HK,failed_empty,0,,,,empty_history
300297.SZ,failed_empty,0,,,,empty_history
3259.HK,failed_empty,0,,,,empty_history
3308.HK,failed_empty,0,,,,empty_history
600068.SS,failed_empty,0,,,,empty_history
600297.SS,failed_empty,0,,,,empty_history
600565.SS,failed_empty,0,,,,empty_history
600837.SS,failed_empty,0,,,,empty_history
601989.SS,failed_empty,0,,,,empty_history
6837.HK,failed_empty,0,,,,empty_history
88187.HK,failed_empty,0,,,,empty_history
88707.HK,failed_empty,0,,,,empty_history
9997.HK,failed_empty,0,,,,empty_history
