ticker_yf,status,n_rows,min_date,max_date,yahoo_symbol_used,error
000001.SZ,success_cached,2728,2014-12-22,2026-03-19,000001.SZ,
000002.SZ,success_cached,2728,2014-12-22,2026-03-19,000002.SZ,
000008.SZ,success_cached,2728,2014-12-22,2026-03-19,000008.SZ,
000009.SZ,success_cached,2728,2014-12-22,2026-03-19,000009.SZ,
000021.SZ,success_cached,2728,2014-12-22,2026-03-19,000021.SZ,
000025.SZ,success_cached,2728,2014-12-22,2026-03-19,000025.SZ,
000035.SZ,success_cached,2728,2014-12-22,2026-03-19,000035.SZ,
000036.SZ,success_cached,2728,2014-12-22,2026-03-19,000036.SZ,
000039.SZ,success_cached,2728,2014-12-22,2026-03-19,000039.SZ,
000046.SZ,failed_empty,0,,,,empty_history
000050.SZ,success_cached,2728,2014-12-22,2026-03-19,000050.SZ,
000060.SZ,success_cached,2728,2014-12-22,2026-03-19,000060.SZ,
000063.SZ,success_cached,2728,2014-12-22,2026-03-19,000063.SZ,
000066.SZ,success_cached,2728,2014-12-22,2026-03-19,000066.SZ,
000069.SZ,success_cached,2728,2014-12-22,2026-03-19,000069.SZ,
000070.SZ,success_cached,2728,2014-12-22,2026-03-19,000070.SZ,
000078.SZ,success_cached,2728,2014-12-22,2026-03-19,000078.SZ,
000100.SZ,success_cached,2728,2014-12-22,2026-03-19,000100.SZ,
000157.SZ,success_cached,2728,2014-12-22,2026-03-19,000157.SZ,
000166.SZ,success_cached,2728,2014-12-22,2026-03-19,000166.SZ,
0002.HK,success_cached,2767,2014-12-22,2026-03-19,0002.HK,
000333.SZ,success_cached,2728,2014-12-22,2026-03-19,000333.SZ,
000338.SZ,success_cached,2728,2014-12-22,2026-03-19,000338.SZ,
0004.HK,success_cached,2767,2014-12-22,2026-03-19,0004.HK,
000488.SZ,success_cached,2728,2014-12-22,2026-03-19,000488.SZ,
000513.SZ,success_cached,2728,2014-12-22,2026-03-19,000513.SZ,
000528.SZ,success_cached,2728,2014-12-22,2026-03-19,000528.SZ,
000538.SZ,success_cached,2728,2014-12-22,2026-03-19,000538.SZ,
000539.SZ,success_cached,2728,2014-12-22,2026-03-19,000539.SZ,
000540.SZ,failed_empty,0,,,,empty_history
000546.SZ,success_cached,2728,2014-12-22,2026-03-19,000546.SZ,
000555.SZ,success_cached,2728,2014-12-22,2026-03-19,000555.SZ,
000568.SZ,success_cached,2728,2014-12-22,2026-03-19,000568.SZ,
000625.SZ,success_cached,2728,2014-12-22,2026-03-19,000625.SZ,
000725.SZ,success_cached,2728,2014-12-22,2026-03-19,000725.SZ,
000776.SZ,success_cached,2728,2014-12-22,2026-03-19,000776.SZ,
0008.HK,success_cached,2767,2014-12-22,2026-03-19,0008.HK,
000825.SZ,success_cached,2728,2014-12-22,2026-03-19,000825.SZ,
000839.SZ,success_cached,2728,2014-12-22,2026-03-19,000839.SZ,
000858.SZ,success_cached,2728,2014-12-22,2026-03-19,000858.SZ,
000876.SZ,success_cached,2728,2014-12-22,2026-03-19,000876.SZ,
000893.SZ,success_cached,2728,2014-12-22,2026-03-19,000893.SZ,
000898.SZ,success_cached,2728,2014-12-22,2026-03-19,000898.SZ,
000921.SZ,success_cached,2728,2014-12-22,2026-03-19,000921.SZ,
000967.SZ,success_cached,2728,2014-12-22,2026-03-19,000967.SZ,
000997.SZ,success_cached,2728,2014-12-22,2026-03-19,000997.SZ,
0010.HK,success_cached,2767,2014-12-22,2026-03-19,0010.HK,
0013.HK,success_cached,1160,2021-06-30,2026-03-19,0013.HK,
001323.SZ,success_cached,906,2022-06-23,2026-03-19,001323.SZ,
0014.HK,success_cached,2767,2014-12-22,2026-03-19,0014.HK,
0016.HK,success_cached,2767,2014-12-22,2026-03-19,0016.HK,
0017.HK,success_cached,2767,2014-12-22,2026-03-19,0017.HK,
0019.HK,success_cached,2767,2014-12-22,2026-03-19,0019.HK,
001979.SZ,success_cached,2728,2014-12-22,2026-03-19,001979.SZ,
0020.HK,success_cached,1035,2021-12-30,2026-03-19,0020.HK,
002016.SZ,success_cached,2728,2014-12-22,2026-03-19,002016.SZ,
002024.SZ,success_cached,2728,2014-12-22,2026-03-19,002024.SZ,
002027.SZ,success_cached,2728,2014-12-22,2026-03-19,002027.SZ,
002047.SZ,success_cached,2728,2014-12-22,2026-03-19,002047.SZ,
002078.SZ,success_cached,2728,2014-12-22,2026-03-19,002078.SZ,
002163.SZ,success_cached,2728,2014-12-22,2026-03-19,002163.SZ,
002168.SZ,success_cached,2728,2014-12-22,2026-03-19,002168.SZ,
002179.SZ,success_cached,2728,2014-12-22,2026-03-19,002179.SZ,
002191.SZ,success_cached,2728,2014-12-22,2026-03-19,002191.SZ,
002202.SZ,success_cached,2728,2014-12-22,2026-03-19,002202.SZ,
002240.SZ,success_cached,2728,2014-12-22,2026-03-19,002240.SZ,
002241.SZ,success_cached,2728,2014-12-22,2026-03-19,002241.SZ,
002243.SZ,success_cached,2728,2014-12-22,2026-03-19,002243.SZ,
002249.SZ,success_cached,2728,2014-12-22,2026-03-19,002249.SZ,
002292.SZ,success_cached,2728,2014-12-22,2026-03-19,002292.SZ,
0023.HK,success_cached,2767,2014-12-22,2026-03-19,0023.HK,
002303.SZ,success_cached,2728,2014-12-22,2026-03-19,002303.SZ,
002304.SZ,success_cached,2728,2014-12-22,2026-03-19,002304.SZ,
