date,index,change_type,ticker,ticker_normalized,company,source_row_id,change_type_raw,index_raw,index_normalization_status,symbol_rank_within_row,is_primary_symbol,symbol_token_raw,ticker_yf_normalized,ticker_parse_status,ticker_yf
2016-03-14,Hang Seng China 50 Index,Exclusion,1211 / 002594,1211.HK / 002594.SZ,BYD Co. Ltd.,0,Exclusion,Hang Seng China 50 Index,unchanged,1,1,1211.HK,1211.HK,parse_ok,1211.HK
2016-03-14,Hang Seng China 50 Index,Exclusion,1211 / 002594,1211.HK / 002594.SZ,BYD Co. Ltd.,0,Exclusion,Hang Seng China 50 Index,unchanged,2,0,002594.SZ,002594.SZ,parse_ok,002594.SZ
2016-03-14,Hang Seng China 50 Index,Exclusion,2333 / 601633,2333.HK / 601633.SH,Great Wall Motor Co. Ltd.,2,Exclusion,Hang Seng China 50 Index,unchanged,1,1,2333.HK,2333.HK,parse_ok,2333.HK
2016-03-14,Hang Seng China 50 Index,Exclusion,2333 / 601633,2333.HK / 601633.SH,Great Wall Motor Co. Ltd.,2,Exclusion,Hang Seng China 50 Index,unchanged,2,0,601633.SH,601633.SS,parse_ok,601633.SS
2016-03-14,Hang Seng China 50 Index,Inclusion,1186 / 601186,1186.HK / 601186.SH,China Railway Construction Corporation Ltd.,3,Inclusion,Hang Seng China 50 Index,unchanged,1,1,1186.HK,1186.HK,parse_ok,1186.HK
2016-03-14,Hang Seng China 50 Index,Inclusion,1186 / 601186,1186.HK / 601186.SH,China Railway Construction Corporation Ltd.,3,Inclusion,Hang Seng China 50 Index,unchanged,2,0,601186.SH,601186.SS,parse_ok,601186.SS
2016-03-14,Hang Seng China 50 Index,Inclusion,1776 / 000776,1776.HK / 000776.SZ,"GF Securities Co., Ltd.",4,Inclusion,Hang Seng China 50 Index,unchanged,1,1,1776.HK,1776.HK,parse_ok,1776.HK
2016-03-14,Hang Seng China 50 Index,Inclusion,1776 / 000776,1776.HK / 000776.SZ,"GF Securities Co., Ltd.",4,Inclusion,Hang Seng China 50 Index,unchanged,2,0,000776.SZ,000776.SZ,parse_ok,000776.SZ
2016-03-14,Hang Seng China AH Index Series,Inclusion,317 / 600685,0317.HK / 600685.SH,CSSC Offshore & Marine Engineering (Group) Co.,6,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,0317.HK,0317.HK,parse_ok,0317.HK
2016-03-14,Hang Seng China AH Index Series,Inclusion,317 / 600685,0317.HK / 600685.SH,CSSC Offshore & Marine Engineering (Group) Co.,6,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,600685.SH,600685.SS,parse_ok,600685.SS
2017-03-06,Hang Seng China 50 Index,Exclusion,902 / 600011,0902.HK / 600011.SH,"Huaneng Power International, Inc.",94,Exclusion,Hang Seng China 50 Index,unchanged,1,1,0902.HK,0902.HK,parse_ok,0902.HK
