source_row_id,index_raw,index,index_normalization_status
0,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
2,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
3,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
4,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
5,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
6,Hang Seng China AH Index Series,Hang Seng China AH Index Series,unchanged
7,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
8,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
9,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
10,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
11,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
12,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
13,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
14,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
15,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
16,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
17,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
18,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
19,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
20,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
21,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
22,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
23,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
24,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
25,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
26,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
27,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
28,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
29,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
30,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
31,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
32,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
33,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
34,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
35,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
36,Hang Seng Index,Hang Seng Index,unchanged
37,Hang Seng Index,Hang Seng Index,unchanged
38,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
39,Hang Seng Composite LargeCap & MidCap Index,Hang Seng Composite LargeCap & MidCap Index,unchanged
40,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
41,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
42,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
43,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
44,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
45,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
46,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
47,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
48,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
49,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
50,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
51,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
52,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
53,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
54,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
55,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
56,Hang Seng China A Top 100 Index,Hang Seng China A Top 100 Index,unchanged
