event_idx,status,ticker_yf,event_date
0,window_ok,1211.HK,2016-03-14
1,window_ok,002594.SZ,2016-03-14
2,window_ok,1359.HK,2016-03-14
3,window_ok,2333.HK,2016-03-14
4,window_ok,601633.SS,2016-03-14
5,window_ok,1186.HK,2016-03-14
6,window_ok,601186.SS,2016-03-14
7,window_ok,1776.HK,2016-03-14
8,window_ok,000776.SZ,2016-03-14
9,window_ok,601211.SS,2016-03-14
10,window_ok,0317.HK,2016-03-14
11,window_ok,600685.SS,2016-03-14
12,no_history,0054.HK,2016-03-14
13,window_ok,0829.HK,2016-03-14
14,window_ok,1157.HK,2016-03-14
15,window_ok,1528.HK,2016-03-14
16,window_ok,0010.HK,2016-03-14
17,no_history,0109.HK,2016-03-14
18,window_ok,0136.HK,2016-03-14
19,window_ok,0400.HK,2016-03-14
20,window_ok,0405.HK,2016-03-14
21,window_ok,0607.HK,2016-03-14
22,window_ok,0715.HK,2016-03-14
23,window_ok,0911.HK,2016-03-14
24,no_history,0958.HK,2016-03-14
25,window_ok,1071.HK,2016-03-14
26,window_ok,1282.HK,2016-03-14
27,window_ok,1308.HK,2016-03-14
28,no_history,1363.HK,2016-03-14
29,window_ok,1432.HK,2016-03-14
30,window_ok,1508.HK,2016-03-14
31,window_ok,1970.HK,2016-03-14
32,no_history,2066.HK,2016-03-14
33,window_ok,2098.HK,2016-03-14
34,window_ok,2298.HK,2016-03-14
35,window_ok,3698.HK,2016-03-14
36,window_ok,3823.HK,2016-03-14
37,window_ok,3886.HK,2016-03-14
38,window_ok,3908.HK,2016-03-14
39,window_ok,3996.HK,2016-03-14
40,window_ok,0291.HK,2016-03-14
41,window_ok,1038.HK,2016-03-14
42,window_ok,1578.HK,2016-06-06
43,window_ok,2016.HK,2016-06-06
44,window_ok,600958.SS,2016-09-05
45,window_ok,600606.SS,2016-09-05
46,window_ok,000839.SZ,2016-09-05
47,window_ok,002241.SZ,2016-09-05
48,window_ok,600111.SS,2016-09-05
49,window_ok,600027.SS,2016-09-05
50,window_ok,600271.SS,2016-09-05
