event_idx,ticker_yf,date,status,anchor_date,notes
0,1211.HK,2016-03-14,features_ok,2016-03-11,
1,002594.SZ,2016-03-14,features_ok,2016-03-11,
2,1359.HK,2016-03-14,features_ok,2016-03-11,
3,2333.HK,2016-03-14,features_ok,2016-03-11,
4,601633.SS,2016-03-14,features_ok,2016-03-11,
5,1186.HK,2016-03-14,features_ok,2016-03-11,
6,601186.SS,2016-03-14,features_ok,2016-03-11,
7,1776.HK,2016-03-14,features_ok,2016-03-11,
8,000776.SZ,2016-03-14,features_ok,2016-03-11,
9,601211.SS,2016-03-14,features_ok,2016-03-11,
10,0317.HK,2016-03-14,features_ok,2016-03-11,
11,600685.SS,2016-03-14,features_ok,2016-03-11,
12,0054.HK,2016-03-14,no_history,,ticker history unavailable
13,0829.HK,2016-03-14,features_ok,2016-03-11,
14,1157.HK,2016-03-14,features_ok,2016-03-11,
15,1528.HK,2016-03-14,features_ok,2016-03-11,
16,0010.HK,2016-03-14,features_ok,2016-03-11,
17,0109.HK,2016-03-14,no_history,,ticker history unavailable
18,0136.HK,2016-03-14,features_ok,2016-03-11,
19,0400.HK,2016-03-14,features_ok,2016-03-11,
20,0405.HK,2016-03-14,features_ok,2016-03-11,
21,0607.HK,2016-03-14,features_ok,2016-03-11,
22,0715.HK,2016-03-14,features_ok,2016-03-11,
23,0911.HK,2016-03-14,features_ok,2016-03-11,
24,0958.HK,2016-03-14,no_history,,ticker history unavailable
25,1071.HK,2016-03-14,features_ok,2016-03-11,
26,1282.HK,2016-03-14,features_ok,2016-03-11,
27,1308.HK,2016-03-14,features_ok,2016-03-11,
28,1363.HK,2016-03-14,no_history,,ticker history unavailable
29,1432.HK,2016-03-14,features_ok,2016-03-11,
30,1508.HK,2016-03-14,features_ok,2016-03-11,
31,1970.HK,2016-03-14,features_ok,2016-03-11,
32,2066.HK,2016-03-14,no_history,,ticker history unavailable
33,2098.HK,2016-03-14,features_ok,2016-03-11,
34,2298.HK,2016-03-14,features_ok,2016-03-11,
35,3698.HK,2016-03-14,features_ok,2016-03-11,
36,3823.HK,2016-03-14,features_ok,2016-03-11,
37,3886.HK,2016-03-14,features_ok,2016-03-11,
38,3908.HK,2016-03-14,features_ok,2016-03-11,
39,3996.HK,2016-03-14,features_ok,2016-03-11,
40,0291.HK,2016-03-14,features_ok,2016-03-11,
41,1038.HK,2016-03-14,features_ok,2016-03-11,
42,1578.HK,2016-06-06,features_ok,2016-06-03,
43,2016.HK,2016-06-06,features_ok,2016-06-03,
44,600958.SS,2016-09-05,features_ok,2016-09-02,
45,600606.SS,2016-09-05,features_ok,2016-09-02,
46,000839.SZ,2016-09-05,features_ok,2016-09-02,
47,002241.SZ,2016-09-05,features_ok,2016-09-02,
48,600111.SS,2016-09-05,features_ok,2016-09-02,
49,600027.SS,2016-09-05,features_ok,2016-09-02,
50,600271.SS,2016-09-05,features_ok,2016-09-02,
51,600688.SS,2016-09-05,features_ok,2016-09-02,
52,600704.SS,2016-09-05,features_ok,2016-09-02,
53,601018.SS,2016-09-05,features_ok,2016-09-02,
54,601186.SS,2016-09-05,features_ok,2016-09-02,
55,601318.SS,2016-09-05,features_ok,2016-09-02,
56,603993.SS,2016-09-05,features_ok,2016-09-02,
57,000157.SZ,2016-09-05,features_ok,2016-09-02,
58,600031.SS,2016-09-05,features_ok,2016-09-02,
59,600875.SS,2016-09-05,features_ok,2016-09-02,
60,601225.SS,2016-09-05,features_ok,2016-09-02,
61,601898.SS,2016-09-05,features_ok,2016-09-02,
62,601989.SS,2016-09-05,no_history,,ticker history unavailable
63,001979.SZ,2016-09-05,features_ok,2016-09-02,
64,600606.SS,2016-09-05,features_ok,2016-09-02,
65,600958.SS,2016-09-05,features_ok,2016-09-02,
66,601009.SS,2016-09-05,features_ok,2016-09-02,
67,601018.SS,2016-09-05,features_ok,2016-09-02,
68,601211.SS,2016-09-05,features_ok,2016-09-02,
69,3323.HK,2016-09-05,features_ok,2016-09-02,
70,3898.HK,2016-09-05,features_ok,2016-09-02,
71,0081.HK,2016-09-05,features_ok,2016-09-02,
72,0207.HK,2016-09-05,no_history,,ticker history unavailable
73,0283.HK,2016-09-05,no_anchor,,no prior trading day in history
74,0530.HK,2016-09-05,no_history,,ticker history unavailable
75,0639.HK,2016-09-05,features_ok,2016-09-02,
76,0754.HK,2016-09-05,features_ok,2016-09-02,
77,1076.HK,2016-09-05,no_history,,ticker history unavailable
78,1111.HK,2016-09-05,no_anchor,,no prior trading day in history
79,1165.HK,2016-09-05,features_ok,2016-09-02,
80,1212.HK,2016-09-05,no_history,,ticker history unavailable
81,0245.HK,2016-09-05,features_ok,2016-09-02,
82,0338.HK,2016-09-05,features_ok,2016-09-02,
83,0345.HK,2016-09-05,features_ok,2016-09-02,
