index,change_type,n_events,mean_ret_20d_pre,median_ret_20d_pre,mean_avg_dollar_volume_20d_pre,median_avg_dollar_volume_20d_pre,mean_realized_vol_20d_pre,median_realized_vol_20d_pre,mean_post_t1_t20,median_post_t1_t20,mean_post_t1_t60,median_post_t1_t60
Hang Seng (China A) Corporate Sustainability Benchmark Index,Exclusion,11,0.015486130696192212,-0.013535037469300737,726776098.7011777,386079826.25283873,0.016741459600059634,0.01518971160180432,-0.00797177515907825,0.008878176537811422,0.023973196514352865,0.026469032088693223
Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,120,0.09756356472270292,0.07935155440990982,357058989.71539587,145991413.86235845,0.01974764258627674,0.018201065092398026,0.018457630599528603,-0.01781187852575622,-0.0028903521619493082,-0.04573099766764732
Hang Seng (China A) Corporate Sustainability Benchmark Index,Removal,11,-0.038966581088566425,-0.024096345525984497,48532128.539740875,1350623.9973425865,0.022679075260880296,0.022336661427338117,0.19765824822286507,0.19753089599394236,0.1082672488251203,0.1251980650113904
Hang Seng (China A) Corporate Sustainability Index,Exclusion,8,0.03670712779046066,0.010023503015752944,990752305.647152,690007006.5522554,0.01595337828771177,0.012986601826121463,0.0075319646733154055,0.024055800943176053,0.03710630584432738,0.022295248366461795
Hang Seng (China A) Corporate Sustainability Index,Inclusion,44,0.03481851094801509,0.02915402943621559,1119049957.9272387,711268805.5136652,0.02263556099867489,0.0188145006802328,0.028749054604859946,-0.010709793461309125,0.06061803435348319,0.019664873905146707
Hang Seng (China A) Corporate Sustainability Index,Removal,22,-0.028468670297845375,0.0006698718846382956,707441542.9675916,624031862.5117888,0.01885199093059253,0.01799400636306395,0.05660948212391382,0.012406343468778003,0.08627418182961674,-0.005416711595174872
Hang Seng Biotech Index,Inclusion,2,-0.019298310913107797,-0.019298310913107797,45859247.73867203,45859247.73867203,0.05686473195742452,0.05686473195742452,-0.17673568583650084,-0.17673568583650084,-0.24242422260660434,-0.24242422260660434
Hang Seng Biotech Index,Removal,3,0.12000231786761224,0.08583101151321348,188112243.64748132,62729797.958717346,0.05821859265603039,0.059780013363567815,0.04971670791360413,-0.005263194879337574,1.0014473111908904,1.1978261367134426
Hang Seng China 50 Index,Exclusion,24,0.037940372214409275,0.022844554282494656,350702186.207106,253052351.13652003,0.02057095869235825,0.019516507262351865,0.015793043436061815,0.004734379943220568,0.0019480760838682665,-0.02325287379165658
Hang Seng China 50 Index,Inclusion,45,-0.014216043357366709,0.0,1857608025.1733649,933458819.0967541,0.029934461366309416,0.030944664827278406,-0.004088659497468537,-0.020166006448029794,-0.001125622426240458,-0.005268715762575038
Hang Seng China 50 Index,Removal,22,0.049819191350122735,0.04019598581796158,549967416.2577136,352427309.12608725,0.022914853815013462,0.019452840432636214,-0.024328567330491793,-0.025750738713886556,-0.034840082982322405,-0.055053099601986566
Hang Seng China A Industry Top Index,Exclusion,23,0.046554168609211966,0.04778920346040261,625500581.5494858,205915164.76879138,0.01854112921469381,0.015313874064610773,-0.026813817357886235,-0.049090905623002445,-0.01482761523892679,-0.0565276024222815
Hang Seng China A Industry Top Index,Inclusion,56,0.022440285330775404,0.010115677564573433,1093486208.7551026,732281249.4712608,0.019814872266611834,0.018009978387176558,0.019292166021239326,-0.010786533147067234,0.030076925777942676,-0.002139249099551488
Hang Seng China A Industry Top Index,Removal,25,0.015844011974950542,-0.014598526172921567,671611133.453671,305597336.9120995,0.018381161621480607,0.016043354292291753,0.049623600930887746,0.016207517055622622,0.02107492092041785,0.0020442299357759097
Hang Seng China A Top 100 Index,Exclusion,24,0.03027121711293757,0.011125347994007995,301258824.55550385,106767235.23345655,0.015000692708063553,0.013220024221735455,-0.017593780534860156,-0.026264273552346784,0.003227025986267571,-0.047152595786222384
