ticker_yf,date,index,change_type,days_since_prev_event
000001.SZ,2018-09-10,Hang Seng (China A) Corporate Sustainability Benchmark Index,Exclusion,
000001.SZ,2018-09-10,Hang Seng (China A) Corporate Sustainability Index,Exclusion,0.0
000001.SZ,2019-09-09,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,364.0
000002.SZ,2018-09-10,Hang Seng (China A) Corporate Sustainability Index,Inclusion,
000008.SZ,2020-03-09,Hang Seng Stock Connect Greater Bay Area Composite Index,Removal,
000009.SZ,2017-09-04,Hang Seng China A Industry Top Index,Exclusion,
000021.SZ,2019-09-09,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,
000025.SZ,2021-09-06,Hang Seng Stock Connect Greater Bay Area Composite Index,Removal,
000035.SZ,2019-09-09,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,
000036.SZ,2020-03-09,Hang Seng Stock Connect Greater Bay Area Composite Index,Removal,
000039.SZ,2017-03-06,Hang Seng China AH Index Series,Exclusion,
000039.SZ,2017-09-04,Hang Seng China A Top 100 Index,Exclusion,182.0
000039.SZ,2017-09-04,Hang Seng China AH Index Series,Inclusion,0.0
000039.SZ,2017-09-04,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,0.0
000039.SZ,2019-09-09,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,735.0
000046.SZ,2019-09-09,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,
000050.SZ,2019-09-09,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,
000060.SZ,2024-09-09,Hang Seng Stock Connect Greater Bay Area Composite Index,Inclusion,
000063.SZ,2017-09-04,Hang Seng China A Industry Top Index,Exclusion,
000063.SZ,2017-09-04,Hang Seng China A Top 100 Index,Exclusion,0.0
000063.SZ,2018-09-10,Hang Seng (China A) Corporate Sustainability Benchmark Index,Exclusion,371.0
000063.SZ,2018-09-10,Hang Seng (China A) Corporate Sustainability Index,Exclusion,0.0
000063.SZ,2018-09-10,Hang Seng China A Industry Top Index,Inclusion,0.0
000063.SZ,2018-09-10,Hang Seng China A Top 100 Index,Inclusion,0.0
000063.SZ,2019-09-09,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,364.0
000063.SZ,2019-09-09,Hang Seng (China A) Corporate Sustainability Index,Inclusion,0.0
000063.SZ,2019-09-09,Hang Seng China A Industry Top Index,Exclusion,0.0
000063.SZ,2019-09-09,Hang Seng China A Top 100 Index,Exclusion,0.0
000063.SZ,2021-09-06,Hang Seng China A Industry Top Index,Inclusion,728.0
000063.SZ,2021-09-06,Hang Seng China A Top 100 Index,Inclusion,0.0
000066.SZ,2019-09-09,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,
000069.SZ,2017-09-04,Hang Seng China A Industry Top Index,Exclusion,
000070.SZ,2021-09-06,Hang Seng Stock Connect Greater Bay Area Composite Index,Removal,
000078.SZ,2024-03-04,Hang Seng Stock Connect Greater Bay Area Composite Index,Removal,
000100.SZ,2019-09-09,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,
000100.SZ,2019-09-09,Hang Seng (China A) Corporate Sustainability Index,Inclusion,0.0
000157.SZ,2016-09-05,Hang Seng China A Top 100 Index,Exclusion,
000157.SZ,2019-03-11,Hang Seng Stock Connect China AH Index Series,Exclusion,917.0
000157.SZ,2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,182.0
000166.SZ,2018-03-05,Hang Seng China 50 Index,Exclusion,
000166.SZ,2019-09-09,Hang Seng Stock Connect China AH Index Series,Inclusion,553.0
0002.HK,2021-09-06,Hang Seng Stock Connect Greater Bay Area Composite Index,Inclusion,
