ticker_yf,n_unique_indices
600958.SS,6
601211.SS,6
6690.HK,5
600600.SS,5
0762.HK,5
601138.SS,5
0345.HK,5
601991.SS,5
1801.HK,5
000039.SZ,4
300750.SZ,4
0884.HK,4
0010.HK,4
600115.SS,4
0968.HK,4
0991.HK,4
1088.HK,4
1109.HK,4
3331.HK,4
1211.HK,4
1339.HK,4
601012.SS,4
1378.HK,4
2611.HK,4
2382.HK,4
2331.HK,4
2319.HK,4
2269.HK,4
002475.SZ,4
2039.HK,4
1658.HK,4
0175.HK,4
0041.HK,4
2688.HK,4
0316.HK,4
601808.SS,4
601607.SS,4
601888.SS,4
0317.HK,4
601319.SS,4
0384.HK,4
6862.HK,4
0069.HK,4
6098.HK,4
000063.SZ,4
0288.HK,4
6099.HK,4
601727.SS,4
0315.HK,3
1519.HK,3
1528.HK,3
1558.HK,3
0323.HK,3
1347.HK,3
0291.HK,3
0347.HK,3
1209.HK,3
0659.HK,3
1138.HK,3
0300.HK,3
0688.HK,3
0700.HK,3
1810.HK,3
0732.HK,3
0241.HK,3
0788.HK,3
0656.HK,3
0881.HK,3
0267.HK,3
0909.HK,3
0921.HK,3
0548.HK,3
0960.HK,3
0981.HK,3
0511.HK,3
0998.HK,3
0390.HK,3
2018.HK,3
2007.HK,3
601816.SS,3
600887.SS,3
600999.SS,3
601066.SS,3
601186.SS,3
601225.SS,3
601238.SS,3
601600.SS,3
601618.SS,3
601633.SS,3
601788.SS,3
601881.SS,3
2015.HK,3
601899.SS,3
601919.SS,3
603288.SS,3
6060.HK,3
6666.HK,3
9618.HK,3
9660.HK,3
9987.HK,3
9988.HK,3
9997.HK,3
600875.SS,3
600606.SS,3
600547.SS,3
600406.SS,3
2020.HK,3
2057.HK,3
2228.HK,3
2238.HK,3
2356.HK,3
0144.HK,3
2727.HK,3
2799.HK,3
300760.SZ,3
300999.SZ,3
3377.HK,3
3690.HK,3
3958.HK,3
3968.HK,3
3988.HK,3
600011.SS,3
600018.SS,3
600027.SS,3
600188.SS,3
600276.SS,3
600377.SS,3
0168.HK,3
9999.HK,3
002594.SZ,3
0020.HK,3
000825.SZ,3
002371.SZ,3
002352.SZ,3
0087.HK,3
001979.SZ,3
0066.HK,3
1099.HK,2
601628.SS,2
1698.HK,2
1691.HK,2
1686.HK,2
000568.SZ,2
1680.HK,2
1668.HK,2
601229.SS,2
002460.SZ,2
601231.SS,2
1618.HK,2
601318.SS,2
1541.HK,2
002493.SZ,2
601336.SS,2
601360.SS,2
1513.HK,2
1508.HK,2
1728.HK,2
6049.HK,2
1735.HK,2
1800.HK,2
600871.SS,2
600874.SS,2
1833.HK,2
000858.SZ,2
1812.HK,2
1024.HK,2
601006.SS,2
0008.HK,2
1044.HK,2
601018.SS,2
000776.SZ,2
601088.SS,2
601111.SS,2
1776.HK,2
1772.HK,2
1766.HK,2
601601.SS,2
000513.SZ,2
1112.HK,2
1383.HK,2
1244.HK,2
601898.SS,2
000157.SZ,2
000100.SZ,2
601939.SS,2
601985.SS,2
1205.HK,2
601989.SS,2
1186.HK,2
601992.SS,2
1177.HK,2
603019.SS,2
1157.HK,2
1141.HK,2
002714.SZ,2
603259.SS,2
1113.HK,2
000166.SZ,2
1268.HK,2
1269.HK,2
601828.SS,2
000488.SZ,2
1359.HK,2
600837.SS,2
603993.SS,2
000333.SZ,2
1336.HK,2
601818.SS,2
1316.HK,2
1093.HK,2
1308.HK,2
601866.SS,2
1299.HK,2
1293.HK,2
1282.HK,2
601877.SS,2
1071.HK,2
002601.SZ,2
1896.HK,2
600808.SS,2
002024.SZ,2
3759.HK,2
3883.HK,2
2518.HK,2
3898.HK,2
3899.HK,2
2498.HK,2
3933.HK,2
3990.HK,2
3993.HK,2
0151.HK,2
600000.SS,2
2410.HK,2
2400.HK,2
0019.HK,2
0017.HK,2
600019.SS,2
2359.HK,2
3692.HK,2
3669.HK,2
600025.SS,2
2602.HK,2
300498.SZ,2
300274.SZ,2
300124.SZ,2
3319.HK,2
2899.HK,2
3320.HK,2
2883.HK,2
2877.HK,2
2866.HK,2
2858.HK,2
002179.SZ,2
3328.HK,2
2778.HK,2
2768.HK,2
3333.HK,2
002202.SZ,2
2618.HK,2
600023.SS,2
2342.HK,2
600795.SS,2
0013.HK,2
2048.HK,2
600362.SS,2
2016.HK,2
002415.SZ,2
1999.HK,2
1992.HK,2
1988.HK,2
000921.SZ,2
1970.HK,2
600548.SS,2
1963.HK,2
1942.HK,2
600588.SS,2
600685.SS,2
600688.SS,2
600690.SS,2
6086.HK,2
600346.SS,2
600271.SS,2
2333.HK,2
600196.SS,2
600026.SS,2
2329.HK,2
2328.HK,2
2313.HK,2
600029.SS,2
2282.HK,2
600031.SS,2
2268.HK,2
600036.SS,2
2232.HK,2
600104.SS,2
2202.HK,2
2196.HK,2
2171.HK,2
0014.HK,2
2150.HK,2
600183.SS,2
0999.HK,2
000001.SZ,2
0992.HK,2
0045.HK,2
9901.HK,2
0698.HK,2
0330.HK,2
0052.HK,2
9922.HK,2
9923.HK,2
0728.HK,2
6881.HK,2
0737.HK,2
9926.HK,2
0751.HK,2
6869.HK,2
6865.HK,2
9955.HK,2
0314.HK,2
0054.HK,2
0308.HK,2
0772.HK,2
6855.HK,2
0777.HK,2
6837.HK,2
0780.HK,2
0787.HK,2
9961.HK,2
0043.HK,2
0297.HK,2
0293.HK,2
0806.HK,2
0808.HK,2
0123.HK,2
0338.HK,2
9890.HK,2
9966.HK,2
0607.HK,2
0522.HK,2
0525.HK,2
9668.HK,2
0078.HK,2
0512.HK,2
9698.HK,2
9633.HK,2
9626.HK,2
0582.HK,2
0494.HK,2
0586.HK,2
0489.HK,2
9863.HK,2
0598.HK,2
0467.HK,2
0683.HK,2
9866.HK,2
9869.HK,2
6993.HK,2
6990.HK,2
0439.HK,2
0412.HK,2
9880.HK,2
6963.HK,2
0405.HK,2
0400.HK,2
0669.HK,2
9885.HK,2
6929.HK,2
9886.HK,2
0813.HK,2
0763.HK,2
0178.HK,2
6185.HK,2
002916.SZ,2
6660.HK,2
003816.SZ,2
0973.HK,2
0173.HK,2
6600.HK,2
9995.HK,2
9990.HK,2
6186.HK,2
0902.HK,2
0136.HK,2
0857.HK,2
0931.HK,2
6160.HK,2
0215.HK,2
0836.HK,2
0257.HK,2
0933.HK,2
0200.HK,2
6088.HK,2
002815.SZ,2
6806.HK,2
6818.HK,2
6178.HK,2
0941.HK,2
0914.HK,2
