ticker_yf,event_date,reason
0054.HK,2016-03-14,no_history_or_anchor
0109.HK,2016-03-14,no_history_or_anchor
0958.HK,2016-03-14,no_history_or_anchor
1363.HK,2016-03-14,no_history_or_anchor
2066.HK,2016-03-14,no_history_or_anchor
3996.HK,2016-03-14,no_history_or_anchor
1578.HK,2016-06-06,no_history_or_anchor
2016.HK,2016-06-06,no_history_or_anchor
0207.HK,2016-09-05,no_history_or_anchor
0283.HK,2016-09-05,no_history_or_anchor
0530.HK,2016-09-05,no_history_or_anchor
0680.HK,2016-09-05,no_history_or_anchor
1076.HK,2016-09-05,no_history_or_anchor
1111.HK,2016-09-05,no_history_or_anchor
1212.HK,2016-09-05,no_history_or_anchor
2588.HK,2016-09-05,no_history_or_anchor
601989.SS,2016-09-05,no_history_or_anchor
0109.HK,2017-03-06,no_history_or_anchor
0494.HK,2017-03-06,no_history_or_anchor
1357.HK,2017-03-06,no_history_or_anchor
1458.HK,2017-03-06,no_history_or_anchor
2066.HK,2017-03-06,no_history_or_anchor
601229.SS,2017-03-06,no_history_or_anchor
0020.HK,2017-09-04,no_history_or_anchor
0043.HK,2017-09-04,no_history_or_anchor
0933.HK,2017-09-04,no_history_or_anchor
1031.HK,2017-09-04,no_history_or_anchor
1212.HK,2017-09-04,no_history_or_anchor
1230.HK,2017-09-04,no_history_or_anchor
1333.HK,2017-09-04,no_history_or_anchor
2269.HK,2017-09-04,no_history_or_anchor
3308.HK,2017-09-04,no_history_or_anchor
600068.SS,2017-09-04,no_history_or_anchor
600297.SS,2017-09-04,no_history_or_anchor
6060.HK,2017-12-04,no_history_or_anchor
0772.HK,2018-03-05,no_history_or_anchor
0787.HK,2018-03-05,no_history_or_anchor
1031.HK,2018-03-05,no_history_or_anchor
2858.HK,2018-03-05,no_history_or_anchor
601989.SS,2018-03-05,no_history_or_anchor
0020.HK,2018-09-10,no_history_or_anchor
0043.HK,2018-09-10,no_history_or_anchor
0054.HK,2018-09-10,no_history_or_anchor
0494.HK,2018-09-10,no_history_or_anchor
0606.HK,2018-09-10,no_history_or_anchor
0680.HK,2018-09-10,no_history_or_anchor
0973.HK,2018-09-10,no_history_or_anchor
0996.HK,2018-09-10,no_history_or_anchor
1337.HK,2018-09-10,no_history_or_anchor
1363.HK,2018-09-10,no_history_or_anchor
2768.HK,2018-09-10,no_history_or_anchor
601138.SS,2018-09-10,no_history_or_anchor
6098.HK,2018-09-10,no_history_or_anchor
6837.HK,2018-09-10,no_history_or_anchor
6862.HK,2018-12-10,no_history_or_anchor
0054.HK,2019-03-11,no_history_or_anchor
0780.HK,2019-03-11,no_history_or_anchor
1992.HK,2019-03-11,no_history_or_anchor
2359.HK,2019-03-11,no_history_or_anchor
000046.SZ,2019-09-09,no_history_or_anchor
000540.SZ,2019-09-09,no_history_or_anchor
0020.HK,2019-09-09,no_history_or_anchor
0667.HK,2019-09-09,no_history_or_anchor
0787.HK,2019-09-09,no_history_or_anchor
1333.HK,2019-09-09,no_history_or_anchor
1951.HK,2019-09-09,no_history_or_anchor
1992.HK,2019-09-09,no_history_or_anchor
3692.HK,2019-09-09,no_history_or_anchor
600068.SS,2019-09-09,no_history_or_anchor
600565.SS,2019-09-09,no_history_or_anchor
0699.HK,2020-03-09,no_history_or_anchor
1691.HK,2020-03-09,no_history_or_anchor
2103.HK,2020-03-09,no_history_or_anchor
2400.HK,2020-03-09,no_history_or_anchor
6049.HK,2020-03-09,no_history_or_anchor
6186.HK,2020-03-09,no_history_or_anchor
6837.HK,2020-06-08,no_history_or_anchor
0699.HK,2020-09-07,no_history_or_anchor
0906.HK,2020-09-07,no_history_or_anchor
1131.HK,2020-09-07,no_history_or_anchor
1806.HK,2020-09-07,no_history_or_anchor
300297.SZ,2020-09-07,no_history_or_anchor
600297.SS,2020-09-07,no_history_or_anchor
6078.HK,2020-09-07,no_history_or_anchor
9923.HK,2020-09-07,no_history_or_anchor
9983.HK,2020-09-07,no_history_or_anchor
9996.HK,2020-09-07,no_history_or_anchor
9997.HK,2020-09-07,no_history_or_anchor
0909.HK,2020-12-07,no_history_or_anchor
1179.HK,2020-12-07,no_history_or_anchor
2057.HK,2020-12-07,no_history_or_anchor
9688.HK,2020-12-07,no_history_or_anchor
9987.HK,2020-12-07,no_history_or_anchor
0973.HK,2021-03-15,no_history_or_anchor
1167.HK,2021-03-15,no_history_or_anchor
1209.HK,2021-03-15,no_history_or_anchor
1516.HK,2021-03-15,no_history_or_anchor
1821.HK,2021-03-15,no_history_or_anchor
1992.HK,2021-03-15,no_history_or_anchor
2142.HK,2021-03-15,no_history_or_anchor
2148.HK,2021-03-15,no_history_or_anchor
2599.HK,2021-03-15,no_history_or_anchor
6666.HK,2021-03-15,no_history_or_anchor
6690.HK,2021-03-15,no_history_or_anchor
6993.HK,2021-03-15,no_history_or_anchor
6996.HK,2021-03-15,no_history_or_anchor
6998.HK,2021-03-15,no_history_or_anchor
9666.HK,2021-03-15,no_history_or_anchor
9992.HK,2021-03-15,no_history_or_anchor
2518.HK,2021-06-07,no_history_or_anchor
6606.HK,2021-06-07,no_history_or_anchor
9626.HK,2021-06-07,no_history_or_anchor
0013.HK,2021-09-06,no_history_or_anchor
002503.SZ,2021-09-06,no_history_or_anchor
0043.HK,2021-09-06,no_history_or_anchor
1558.HK,2021-09-06,no_history_or_anchor
2150.HK,2021-09-06,no_history_or_anchor
2171.HK,2021-09-06,no_history_or_anchor
2618.HK,2021-09-06,no_history_or_anchor
2768.HK,2021-09-06,no_history_or_anchor
600837.SS,2021-09-06,no_history_or_anchor
600905.SS,2021-09-06,no_history_or_anchor
6166.HK,2021-09-06,no_history_or_anchor
6600.HK,2021-09-06,no_history_or_anchor
6699.HK,2021-09-06,no_history_or_anchor
9858.HK,2021-09-06,no_history_or_anchor
9869.HK,2021-12-06,no_history_or_anchor
9866.HK,2022-06-13,no_history_or_anchor
1698.HK,2022-12-05,no_history_or_anchor
1880.HK,2022-12-05,no_history_or_anchor
9863.HK,2022-12-05,no_history_or_anchor
9690.HK,2023-12-04,no_history_or_anchor
0666.HK,2024-03-04,no_history_or_anchor
1381.HK,2024-03-04,no_history_or_anchor
2268.HK,2024-03-04,no_history_or_anchor
2511.HK,2024-03-04,no_history_or_anchor
9880.HK,2024-03-04,no_history_or_anchor
6600.HK,2024-06-11,no_history_or_anchor
9997.HK,2024-06-11,no_history_or_anchor
0801.HK,2024-09-09,no_history_or_anchor
0906.HK,2024-09-09,no_history_or_anchor
0917.HK,2024-09-09,no_history_or_anchor
0999.HK,2024-09-09,no_history_or_anchor
1311.HK,2024-09-09,no_history_or_anchor
1558.HK,2024-09-09,no_history_or_anchor
2228.HK,2024-09-09,no_history_or_anchor
2443.HK,2024-09-09,no_history_or_anchor
2550.HK,2024-09-09,no_history_or_anchor
2556.HK,2024-09-09,no_history_or_anchor
3259.HK,2024-09-09,no_history_or_anchor
6181.HK,2024-09-09,no_history_or_anchor
688361.SS,2024-09-09,no_history_or_anchor
88187.HK,2024-09-09,no_history_or_anchor
88707.HK,2024-09-09,no_history_or_anchor
0999.HK,2025-03-10,no_history_or_anchor
1318.HK,2025-03-10,no_history_or_anchor
2431.HK,2025-03-10,no_history_or_anchor
2432.HK,2025-03-10,no_history_or_anchor
2506.HK,2025-03-10,no_history_or_anchor
2570.HK,2025-03-10,no_history_or_anchor
2577.HK,2025-03-10,no_history_or_anchor
2582.HK,2025-03-10,no_history_or_anchor
2586.HK,2025-03-10,no_history_or_anchor
2587.HK,2025-03-10,no_history_or_anchor
1364.HK,2025-06-09,no_history_or_anchor
2097.HK,2025-06-09,no_history_or_anchor
9997.HK,2025-06-09,no_history_or_anchor
2525.HK,2025-12-08,no_history_or_anchor
2580.HK,2025-12-08,no_history_or_anchor
2591.HK,2025-12-08,no_history_or_anchor
9973.HK,2025-12-08,no_history_or_anchor
