announcement_date,n_event_rows_primary,n_tickers_included,n_tickers_excluded,n_tickers_removed,n_eligible_universe
2016-03-14,37,29,8,0,613
2016-06-06,2,2,0,0,613
2016-09-05,52,28,21,0,613
2016-12-05,2,1,1,0,613
2017-03-06,37,13,21,0,613
2017-09-04,103,53,38,0,613
2017-12-04,8,5,3,0,613
2018-03-05,54,35,19,0,613
2018-06-04,5,3,2,0,613
2018-09-10,158,73,66,0,613
2018-12-10,5,3,1,0,613
2019-03-11,48,19,29,0,613
2019-06-17,11,6,5,0,613
2019-09-09,221,155,38,0,613
2019-12-09,5,3,2,0,613
2020-03-09,76,33,0,39,613
2020-06-08,6,3,0,3,613
2020-09-07,161,72,0,71,613
2020-12-07,33,19,0,12,613
2021-03-15,117,56,0,54,613
2021-06-07,17,9,0,6,613
2021-09-06,178,75,0,82,613
2021-12-06,9,8,0,1,613
2022-06-13,10,6,0,3,613
2022-12-05,22,9,0,5,613
2023-12-04,8,6,0,2,613
2024-03-04,62,35,0,21,613
2024-06-11,17,8,0,7,613
2024-09-09,209,103,0,89,613
2024-12-09,15,8,0,6,613
2025-03-10,80,33,0,45,613
2025-06-09,11,8,0,3,613
2025-12-08,23,11,0,6,613
2026-03-09,8,4,0,4,613
