announcement_date,ref_trading_day,cutoff_trading_days_before,asof_date,asof_calendar_ok,ticker_yf,y_review,in_eligible_universe,row_kind,y_review_code
2016-03-14,2016-03-14,5,2016-03-07,True,0001.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0002.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0003.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0004.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0005.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0006.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0008.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0010.HK,included,True,event,1
2016-03-14,2016-03-14,5,2016-03-07,True,0012.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0013.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0014.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0016.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0017.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0019.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0020.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0023.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0027.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0038.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0041.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0054.HK,excluded,False,event,2
2016-03-14,2016-03-14,5,2016-03-07,True,0066.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0081.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0083.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0087.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0101.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0107.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0109.HK,included,False,event,1
2016-03-14,2016-03-14,5,2016-03-07,True,0119.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0123.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0135.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0136.HK,included,True,event,1
2016-03-14,2016-03-14,5,2016-03-07,True,0142.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0144.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0148.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0151.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0152.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0165.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0168.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0173.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0175.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0177.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0179.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0187.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0189.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0200.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0220.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0241.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0257.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0267.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0268.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0270.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0285.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0288.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0290.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0291.HK,excluded,True,event,2
2016-03-14,2016-03-14,5,2016-03-07,True,0293.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0297.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0300.HK,no_change,True,eligible_no_change,0
2016-03-14,2016-03-14,5,2016-03-07,True,0303.HK,no_change,True,eligible_no_change,0
