ticker_yf,n_events,fundamentals_coverage,median_staleness_days
000001.SZ,3,0.0,
3306.HK,2,0.0,
3308.HK,1,0.0,
3309.HK,1,0.0,
3311.HK,1,0.0,
3319.HK,3,0.0,
3320.HK,2,0.0,
3323.HK,3,0.0,
3328.HK,2,0.0,
3329.HK,1,0.0,
3331.HK,4,0.0,
3333.HK,4,0.0,
3377.HK,3,0.0,
3380.HK,1,0.0,
3382.HK,1,0.0,
3383.HK,1,0.0,
3396.HK,1,0.0,
3606.HK,1,0.0,
3613.HK,1,0.0,
3618.HK,1,0.0,
3633.HK,1,0.0,
3650.HK,2,0.0,
3669.HK,2,0.0,
3690.HK,3,0.0,
3692.HK,3,0.0,
3698.HK,2,0.0,
3301.HK,1,0.0,
3259.HK,1,0.0,
301510.SZ,1,0.0,
300999.SZ,3,0.0,
2877.HK,3,0.0,
2883.HK,3,0.0,
2888.HK,4,0.0,
2899.HK,2,0.0,
300015.SZ,1,0.0,
300083.SZ,1,0.0,
300122.SZ,1,0.0,
300124.SZ,3,0.0,
300274.SZ,2,0.0,
300297.SZ,1,0.0,
300348.SZ,1,0.0,
300377.SZ,1,0.0,
3738.HK,1,0.0,
300398.SZ,1,0.0,
300602.SZ,1,0.0,
300633.SZ,1,0.0,
300671.SZ,1,0.0,
300676.SZ,1,0.0,
300735.SZ,1,0.0,
300737.SZ,2,0.0,
300750.SZ,5,0.0,
300760.SZ,3,0.0,
300770.SZ,1,0.0,
300832.SZ,1,0.0,
300888.SZ,1,0.0,
300973.SZ,1,0.0,
300498.SZ,2,0.0,
3800.HK,1,0.0,
3813.HK,1,0.0,
3823.HK,2,0.0,
600028.SS,2,0.0,
600029.SS,2,0.0,
600030.SS,1,0.0,
600031.SS,3,0.0,
600036.SS,2,0.0,
600050.SS,2,0.0,
600068.SS,2,0.0,
600089.SS,2,0.0,
600098.SS,1,0.0,
600104.SS,2,0.0,
600111.SS,1,0.0,
600114.SS,1,0.0,
600027.SS,4,0.0,
600115.SS,4,0.0,
600143.SS,1,0.0,
600170.SS,1,0.0,
600171.SS,1,0.0,
600183.SS,3,0.0,
600188.SS,5,0.0,
600196.SS,3,0.0,
600216.SS,1,0.0,
600221.SS,1,0.0,
600271.SS,3,0.0,
600276.SS,3,0.0,
600282.SS,1,0.0,
600297.SS,2,0.0,
600118.SS,1,0.0,
2869.HK,1,0.0,
600026.SS,2,0.0,
600020.SS,1,0.0,
3836.HK,1,0.0,
3877.HK,2,0.0,
3883.HK,2,0.0,
3886.HK,1,0.0,
3898.HK,3,0.0,
3899.HK,2,0.0,
3908.HK,1,0.0,
3913.HK,1,0.0,
3918.HK,1,0.0,
3931.HK,1,0.0,
3933.HK,3,0.0,
3939.HK,1,0.0,
600023.SS,2,0.0,
3958.HK,6,0.0,
3983.HK,1,0.0,
3988.HK,4,0.0,
3990.HK,2,0.0,
3993.HK,2,0.0,
3996.HK,1,0.0,
3998.HK,1,0.0,
600000.SS,2,0.0,
600010.SS,1,0.0,
600011.SS,3,0.0,
600012.SS,1,0.0,
600018.SS,3,0.0,
600019.SS,2,0.0,
3968.HK,3,0.0,
600309.SS,1,0.0,
2866.HK,2,0.0,
2799.HK,4,0.0,
2158.HK,1,0.0,
2160.HK,2,0.0,
2169.HK,1,0.0,
2171.HK,3,0.0,
2192.HK,1,0.0,
2196.HK,2,0.0,
2199.HK,2,0.0,
2202.HK,2,0.0,
2208.HK,2,0.0,
2228.HK,3,0.0,
2232.HK,3,0.0,
2236.HK,1,0.0,
2238.HK,5,0.0,
2255.HK,1,0.0,
2257.HK,1,0.0,
2268.HK,2,0.0,
2269.HK,4,0.0,
2280.HK,1,0.0,
2282.HK,2,0.0,
2298.HK,2,0.0,
2313.HK,2,0.0,
2319.HK,4,0.0,
2326.HK,2,0.0,
2328.HK,3,0.0,
2329.HK,2,0.0,
2155.HK,1,0.0,
2150.HK,4,0.0,
2148.HK,1,0.0,
2142.HK,1,0.0,
1992.HK,3,0.0,
1995.HK,1,0.0,
1999.HK,2,0.0,
2003.HK,1,0.0,
2005.HK,1,0.0,
2007.HK,4,0.0,
2009.HK,1,0.0,
2015.HK,3,0.0,
2016.HK,2,0.0,
9997.HK,3,0.0,
2020.HK,3,0.0,
2038.HK,1,0.0,
2331.HK,5,0.0,
2039.HK,5,0.0,
2051.HK,1,0.0,
2066.HK,2,0.0,
2096.HK,1,0.0,
2098.HK,1,0.0,
2099.HK,1,0.0,
2103.HK,1,0.0,
2105.HK,1,0.0,
2121.HK,1,0.0,
2126.HK,1,0.0,
2129.HK,1,0.0,
2137.HK,1,0.0,
2138.HK,1,0.0,
2048.HK,3,0.0,
2333.HK,2,0.0,
2342.HK,2,0.0,
2352.HK,1,0.0,
2556.HK,1,0.0,
2562.HK,1,0.0,
2563.HK,1,0.0,
2570.HK,1,0.0,
2577.HK,1,0.0,
2582.HK,1,0.0,
2586.HK,1,0.0,
2587.HK,1,0.0,
2588.HK,1,0.0,
2590.HK,1,0.0,
2591.HK,1,0.0,
2599.HK,1,0.0,
2555.HK,1,0.0,
2602.HK,2,0.0,
2616.HK,1,0.0,
2618.HK,3,0.0,
2628.HK,1,0.0,
2638.HK,1,0.0,
2678.HK,1,0.0,
2688.HK,5,0.0,
2689.HK,2,0.0,
2727.HK,3,0.0,
2768.HK,2,0.0,
2772.HK,1,0.0,
2778.HK,2,0.0,
2798.HK,1,0.0,
2611.HK,5,0.0,
2858.HK,2,0.0,
2550.HK,1,0.0,
2518.HK,2,0.0,
2356.HK,4,0.0,
2359.HK,2,0.0,
2362.HK,2,0.0,
2378.HK,1,0.0,
2382.HK,4,0.0,
2386.HK,2,0.0,
2400.HK,2,0.0,
2407.HK,1,0.0,
2411.HK,1,0.0,
2415.HK,1,0.0,
2416.HK,1,0.0,
2419.HK,1,0.0,
2522.HK,1,0.0,
2429.HK,1,0.0,
2432.HK,1,0.0,
2443.HK,1,0.0,
2453.HK,1,0.0,
2459.HK,1,0.0,
2460.HK,1,0.0,
2487.HK,1,0.0,
2498.HK,2,0.0,
2500.HK,1,0.0,
2507.HK,1,0.0,
2510.HK,1,0.0,
2511.HK,2,0.0,
2517.HK,1,0.0,
2431.HK,1,0.0,
1988.HK,2,0.0,
600323.SS,1,0.0,
600337.SS,1,0.0,
6682.HK,1,0.0,
6683.HK,1,0.0,
6690.HK,5,0.0,
6698.HK,1,0.0,
6699.HK,1,0.0,
6806.HK,2,0.0,
6818.HK,3,0.0,
6823.HK,1,0.0,
