date,index,change_type,ticker,ticker_normalized,company,source_row_id,change_type_raw,index_raw,index_normalization_status,symbol_rank_within_row,is_primary_symbol,symbol_token_raw,ticker_yf_normalized,ticker_parse_status,ticker_yf,y_enter_stock_connect,asof_date,fundamentals_available,revenue_ttm_asof,net_income_ttm_asof,ocf_ttm_asof,roe_asof,roa_asof,rev_ttm_qoq_trend,ni_ttm_qoq_trend,ocf_ttm_qoq_trend,fundamental_staleness_days
2016-03-14,Hang Seng China 50 Index,Inclusion,1776 / 000776,1776.HK / 000776.SZ,"GF Securities Co., Ltd.",4,Inclusion,Hang Seng China 50 Index,unchanged,2,0,000776.SZ,000776.SZ,parse_ok,000776.SZ,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,10,0010.HK,Hang Lung Group Ltd.,12,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0010.HK,0010.HK,parse_ok,0010.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng China 50 Index,Exclusion,1211 / 002594,1211.HK / 002594.SZ,BYD Co. Ltd.,0,Exclusion,Hang Seng China 50 Index,unchanged,2,0,002594.SZ,002594.SZ,parse_ok,002594.SZ,0,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Exclusion,54,0054.HK,Hopewell Holdings Ltd.,7,Exclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0054.HK,0054.HK,parse_ok,0054.HK,0,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,109,0109.HK,Good Resources Holdings Ltd.,13,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0109.HK,0109.HK,parse_ok,0109.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,136,0136.HK,HengTen Networks Group Ltd.,14,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0136.HK,0136.HK,parse_ok,0136.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Index,Exclusion,291,0291.HK,China Resources Beer,36,Exclusion,Hang Seng Index,unchanged,1,1,0291.HK,0291.HK,parse_ok,0291.HK,0,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng China AH Index Series,Inclusion,317 / 600685,0317.HK / 600685.SH,CSSC Offshore & Marine Engineering (Group) Co.,6,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,0317.HK,0317.HK,parse_ok,0317.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,400,0400.HK,Cogobuy Group,15,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0400.HK,0400.HK,parse_ok,0400.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,405,0405.HK,Yuexiu Real Estate Investment Trust,16,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0405.HK,0405.HK,parse_ok,0405.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,607,0607.HK,Fullshare Holdings Ltd.,17,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0607.HK,0607.HK,parse_ok,0607.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,715,0715.HK,China Oceanwide Holdings Ltd.,18,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0715.HK,0715.HK,parse_ok,0715.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Exclusion,829,0829.HK,Shenguan Holdings (Group) Ltd.,8,Exclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0829.HK,0829.HK,parse_ok,0829.HK,0,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,911,0911.HK,Hang Fat Ginseng Holdings Co. Ltd.,19,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0911.HK,0911.HK,parse_ok,0911.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,958,0958.HK,Huaneng Renewables Corporation Ltd. - H Shares,20,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,0958.HK,0958.HK,parse_ok,0958.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Index,Inclusion,1038,1038.HK,Cheung Kong Infrastructure,37,Inclusion,Hang Seng Index,unchanged,1,1,1038.HK,1038.HK,parse_ok,1038.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1071,1071.HK,Huadian Power International Corporation Ltd. - H Shares,21,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1071.HK,1071.HK,parse_ok,1071.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1157,1157.HK,"Zoomlion Heavy Industry Science and Technology Co., Ltd-H Sh",9,Exclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1157.HK,1157.HK,parse_ok,1157.HK,0,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng China 50 Index,Inclusion,1186 / 601186,1186.HK / 601186.SH,China Railway Construction Corporation Ltd.,3,Inclusion,Hang Seng China 50 Index,unchanged,1,1,1186.HK,1186.HK,parse_ok,1186.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng China 50 Index,Exclusion,1211 / 002594,1211.HK / 002594.SZ,BYD Co. Ltd.,0,Exclusion,Hang Seng China 50 Index,unchanged,1,1,1211.HK,1211.HK,parse_ok,1211.HK,0,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1282,1282.HK,China Goldjoy Group Ltd.,22,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1282.HK,1282.HK,parse_ok,1282.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1308,1308.HK,SITC International Holdings Co. Ltd.,23,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1308.HK,1308.HK,parse_ok,1308.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng China 50 Index,Exclusion,1359,1359.HK,"China Cinda Asset Management Co., Ltd.",1,Exclusion,Hang Seng China 50 Index,unchanged,1,1,1359.HK,1359.HK,parse_ok,1359.HK,0,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1363,1363.HK,CT Environmental Group Ltd.,24,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1363.HK,1363.HK,parse_ok,1363.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1432,1432.HK,China Shengmu Organic Milk Ltd.,25,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1432.HK,1432.HK,parse_ok,1432.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Inclusion,1508,1508.HK,China Reinsurance (Group) Corporation - H Shares,26,Inclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1508.HK,1508.HK,parse_ok,1508.HK,1,2015-12-15,0,,,,,,,,,
2016-03-14,Hang Seng Composite LargeCap & MidCap Index,Exclusion,1528,1528.HK,Red Star Macalline Group Corporation Ltd. - H Shares,10,Exclusion,Hang Seng Composite LargeCap & MidCap Index,unchanged,1,1,1528.HK,1528.HK,parse_ok,1528.HK,0,2015-12-15,0,,,,,,,,,
