date,index,change_type,ticker,ticker_normalized,company,source_row_id,change_type_raw,index_raw,index_normalization_status,symbol_rank_within_row,is_primary_symbol,symbol_token_raw,ticker_yf_normalized,ticker_parse_status,ticker_yf,y_enter_stock_connect,asof_date,fundamentals_available,revenue_ttm_asof,net_income_ttm_asof,ocf_ttm_asof,roe_asof,roa_asof,rev_ttm_qoq_trend,ni_ttm_qoq_trend,ocf_ttm_qoq_trend,fundamental_staleness_days,year
2025-03-10,Hang Seng Composite Index,Removal,338,0338.HK,"Sinopec Shanghai Petrochemical Co., Ltd.- H Shares",1792,Removal,Hang Seng Composite Index,unchanged,1,1,0338.HK,0338.HK,parse_ok,0338.HK,0,2024-12-10,1,,,,,,,,,71.0,2025
2025-03-10,Hang Seng Composite Index,Removal,1385,1385.HK,"Shanghai Fudan Microelectronics Group Co., Ltd. - H Shares",1800,Removal,Hang Seng Composite Index,unchanged,1,1,1385.HK,1385.HK,parse_ok,1385.HK,0,2024-12-10,1,,,,,,,,,163.0,2025
2025-03-10,Hang Seng TECH Index,Inclusion,1698,1698.HK,Tencent Music Entertainment Group - SW,1832,Inclusion,Hang Seng TECH Index,unchanged,1,1,1698.HK,1698.HK,parse_ok,1698.HK,1,2024-12-10,1,,,,,,,,,71.0,2025
2025-03-10,Hang Seng China Enterprises Index,Inclusion,2057,2057.HK,ZTO Express (Cayman) Inc. - W,1758,Inclusion,Hang Seng China Enterprises Index,unchanged,1,1,2057.HK,2057.HK,parse_ok,2057.HK,1,2024-12-10,1,,,,,,,,,71.0,2025
2025-03-10,Hang Seng Composite Index,Removal,2390,2390.HK,Zhihu Inc. - W,1810,Removal,Hang Seng Composite Index,unchanged,1,1,2390.HK,2390.HK,parse_ok,2390.HK,0,2024-12-10,1,,,,,,,,,71.0,2025
2025-03-10,Hang Seng Composite Index,Inclusion,2410,2410.HK,"TYK Medicines, Inc - B - H Shares",1768,Inclusion,Hang Seng Composite Index,unchanged,1,1,2410.HK,2410.HK,parse_ok,2410.HK,1,2024-12-10,1,,,,,,,,,163.0,2025
2025-03-10,Hang Seng Composite Index,Inclusion,2506,2506.HK,"Xunfei Healthcare Technology Co., Ltd. - H Shares",1772,Inclusion,Hang Seng Composite Index,unchanged,1,1,2506.HK,2506.HK,parse_ok,2506.HK,1,2024-12-10,1,,,,,,,,,163.0,2025
2025-03-10,Hang Seng Composite Index,Removal,3347,3347.HK,"Hangzhou Tigermed Consulting Co., Ltd. - H Shares",1817,Removal,Hang Seng Composite Index,unchanged,1,1,3347.HK,3347.HK,parse_ok,3347.HK,0,2024-12-10,1,,,,,,,,,71.0,2025
2025-03-10,Hang Seng Composite Index,Removal,3759,3759.HK,"Pharmaron Beijing Co., Ltd. - H Shares",1821,Removal,Hang Seng Composite Index,unchanged,1,1,3759.HK,3759.HK,parse_ok,3759.HK,0,2024-12-10,1,,,,,,,,,71.0,2025
2025-03-10,Hang Seng China Enterprises Index,Inclusion,6160,6160.HK,"BeiGene, Ltd.",1759,Inclusion,Hang Seng China Enterprises Index,unchanged,1,1,6160.HK,6160.HK,parse_ok,6160.HK,1,2024-12-10,1,,,,,,,,,71.0,2025
2025-03-10,Hang Seng Composite Index,Inclusion,6623,6623.HK,Lufax Holding Ltd,1788,Inclusion,Hang Seng Composite Index,unchanged,1,1,6623.HK,6623.HK,parse_ok,6623.HK,1,2024-12-10,1,,,,,,,,,71.0,2025
