ticker_yf,event_date,decision_asof_date,label_anchor_trade_date,label_horizon_trade_date,horizon_trading_days,keep_return_threshold,forward_total_return,y_keep,index,company,sector_snapshot,industry_snapshot,peer_group,is_commodity_like,shares_outstanding_static,shares_source,market_cap_available,market_cap_is_approx,market_cap_approx_asof,ps_ttm,pe_ttm,forward_pe_snapshot,forward_pe_is_snapshot,fundamentals_available,fundamental_staleness_days,revenue_ttm_asof,net_income_ttm_asof,ocf_ttm_asof,roe_asof,rev_ttm_qoq_trend,ni_ttm_qoq_trend,ocf_ttm_qoq_trend,ps_ttm_peer_z,ps_ttm_peer_n,ps_ttm_peer_pctile,pe_ttm_peer_z,pe_ttm_peer_n,pe_ttm_peer_pctile
1528.HK,2018-09-10,2018-09-10,2018-09-07,2018-12-05,60,0.0,-0.040920683175796,0.0,Hang Seng Stock Connect China AH Index Series,Red Star Macalline Group Corporation Ltd.,Real Estate,Real Estate Services,Real Estate||Real Estate Services,,741285634.0,yfinance_info_static_sharesOutstanding,1,1,5269866177.64274,,,,0,0,,,,,,,,,,0,,,0,
1339.HK,2019-03-11,2019-03-11,2019-03-08,2019-06-10,60,0.0,-0.1213873039489558,0.0,Hang Seng Stock Connect China AH Index Series,The People's Insurance Co. (Group) of China Ltd.,Financial Services,Insurance - Property & Casualty,Financial Services||Insurance - Property & Casualty,,8726234000.0,yfinance_info_static_sharesOutstanding,1,1,30192769972.87941,,,,0,0,,,,,,,,,,0,,,0,
1772.HK,2019-03-11,2019-03-11,2019-03-08,2019-06-10,60,0.0,-0.1844379519157635,0.0,Hang Seng Stock Connect China AH Index Series,"Ganfeng Lithium Co., Ltd.",Basic Materials,Chemicals,Basic Materials||Chemicals,,483100705.0,yfinance_info_static_sharesOutstanding,1,1,4789597931.095223,,,,0,0,,,,,,,,,,0,,,0,
1787.HK,2019-03-11,2019-03-11,2019-03-08,2019-06-10,60,0.0,-0.11300238771732118,0.0,Hang Seng Stock Connect China AH Index Series,"Shandong Gold Mining Co., Ltd.",Basic Materials,Gold,Basic Materials||Gold,,995486178.0,yfinance_info_static_sharesOutstanding,1,1,10742108483.02307,,,,0,0,,,,,,,,,,0,,,0,
2359.HK,2019-03-11,2019-03-11,2019-03-08,2019-06-10,60,0.0,0.002300156432513134,1.0,Hang Seng Stock Connect China AH Index Series,"WuXi AppTec Co., Ltd.",Healthcare,Diagnostics & Research,Healthcare||Diagnostics & Research,,510476909.0,yfinance_info_static_sharesOutstanding,1,1,18871584179.96109,,,,0,0,,,,,,,,,,0,,,0,
6869.HK,2019-03-11,2019-03-11,2019-03-08,2019-06-10,60,0.0,-0.39479550492517845,0.0,Hang Seng Stock Connect China AH Index Series,Yangtze Optical Fibre and Cable Joint Stock Ltd. Co.,Technology,Communication Equipment,Technology||Communication Equipment,,421566794.0,yfinance_info_static_sharesOutstanding,1,1,11340146597.78503,,,,0,0,,,,,,,,,,1,,,1,
0548.HK,2019-09-09,2019-09-09,2019-09-06,2019-12-03,60,0.0,0.05432595419005071,1.0,Hang Seng Stock Connect China AH Index Series,Shenzhen Expressway Co. Ltd.,Industrials,Infrastructure Operations,Industrials||Infrastructure Operations,,747500000.0,yfinance_info_static_sharesOutstanding,1,1,7430149686.336517,,,,0,0,,,,,,,,,,0,,,0,
0598.HK,2019-09-09,2019-09-09,2019-09-06,2019-12-03,60,0.0,-0.05490190945236184,0.0,Hang Seng Stock Connect China AH Index Series,Sinotrans Ltd.,Industrials,Integrated Freight & Logistics,Industrials||Integrated Freight & Logistics,,2016281000.0,yfinance_info_static_sharesOutstanding,1,1,5141516453.85623,,,,0,0,,,,,,,,,,0,,,0,
0921.HK,2019-09-09,2019-09-09,2019-09-06,2019-12-03,60,0.0,-0.10240968216103974,0.0,Hang Seng Stock Connect China AH Index Series,"Hisense Home Appliances Group Co., Ltd.",Consumer Cyclical,"Furnishings, Fixtures & Appliances","Consumer Cyclical||Furnishings, Fixtures & Appliances",,459589808.0,yfinance_info_static_sharesOutstanding,1,1,3814595494.059799,,,,0,0,,,,,,,,,,0,,,0,
1157.HK,2019-09-09,2019-09-09,2019-09-06,2019-12-03,60,0.0,0.04684680056024493,1.0,Hang Seng Stock Connect China AH Index Series,Zoomlion Heavy Industry Science and Technology Co.,Industrials,Farm & Heavy Construction Machinery,Industrials||Farm & Heavy Construction Machinery,,1552507548.0,yfinance_info_static_sharesOutstanding,1,1,8616417187.517315,,,,0,0,,,,,,,,,,0,,,0,
