decile,n,mean_score,keep_rate,mean_forward_return,median_forward_return
1,3,0.0723144305158774,0.0,-0.30561387296748693,-0.1268571581159319
2,2,0.2810318152777325,0.5,-0.01604362097416615,-0.01604362097416615
3,3,0.5268963225145771,0.3333333333333333,-0.0316173239197668,-0.0079649843917966
4,2,0.7812197504244278,1.0,0.1367591452816584,0.1367591452816584
5,3,0.8310914638671685,1.0,0.1627697665393454,0.1697574238985606
6,2,0.8662336311679796,1.0,0.0983770519483181,0.0983770519483181
7,2,0.9178098884341593,1.0,0.21476540953867995,0.21476540953867995
8,3,0.9413602109491871,1.0,0.1944265214313917,0.1676190694173176
9,2,0.9890317189499068,1.0,0.36963039681734433,0.36963039681734433
10,3,0.9999893026110369,1.0,0.9518126993145022,0.9485193153148708
