ticker_yf,status,n_rows,min_date,max_date,yahoo_symbol_used,error
000060.SZ,success_cached,2251,2017-01-18,2026-05-06,000060.SZ,
0002.HK,success_cached,2286,2017-01-18,2026-05-06,0002.HK,
000333.SZ,success_cached,2251,2017-01-18,2026-05-06,000333.SZ,
000539.SZ,success_cached,2251,2017-01-18,2026-05-06,000539.SZ,
000555.SZ,success_cached,2251,2017-01-18,2026-05-06,000555.SZ,
000893.SZ,success_cached,2251,2017-01-18,2026-05-06,000893.SZ,
000967.SZ,success_cached,2251,2017-01-18,2026-05-06,000967.SZ,
0013.HK,success_cached,1190,2021-06-30,2026-05-06,0013.HK,
001323.SZ,success_cached,936,2022-06-23,2026-05-06,001323.SZ,
002163.SZ,success_cached,2251,2017-01-18,2026-05-06,002163.SZ,
002240.SZ,success_cached,2251,2017-01-18,2026-05-06,002240.SZ,
002243.SZ,success_cached,2251,2017-01-18,2026-05-06,002243.SZ,
002351.SZ,success_cached,2251,2017-01-18,2026-05-06,002351.SZ,
002371.SZ,success_cached,2251,2017-01-18,2026-05-06,002371.SZ,
002791.SZ,success_cached,2251,2017-01-18,2026-05-06,002791.SZ,
002850.SZ,success_cached,2224,2017-03-03,2026-05-06,002850.SZ,
002967.SZ,success_cached,1571,2019-11-08,2026-05-06,002967.SZ,
003012.SZ,success_cached,1344,2020-10-19,2026-05-06,003012.SZ,
0041.HK,success_cached,2286,2017-01-18,2026-05-06,0041.HK,
0069.HK,success_cached,2286,2017-01-18,2026-05-06,0069.HK,
0522.HK,success_cached,2286,2017-01-18,2026-05-06,0522.HK,
0548.HK,success_cached,2286,2017-01-18,2026-05-06,0548.HK,
0551.HK,success_cached,2286,2017-01-18,2026-05-06,0551.HK,
0598.HK,success_cached,2286,2017-01-18,2026-05-06,0598.HK,
0762.HK,success_cached,2286,2017-01-18,2026-05-06,0762.HK,
0857.HK,success_cached,2286,2017-01-18,2026-05-06,0857.HK,
0881.HK,success_cached,2286,2017-01-18,2026-05-06,0881.HK,
0909.HK,success_cached,1375,2020-09-25,2026-05-06,0909.HK,
0921.HK,success_cached,2286,2017-01-18,2026-05-06,0921.HK,
1157.HK,success_cached,2286,2017-01-18,2026-05-06,1157.HK,
1209.HK,success_cached,1326,2020-12-09,2026-05-06,1209.HK,
1268.HK,success_cached,2286,2017-01-18,2026-05-06,1268.HK,
